task_id,task_idx,bug_kind,stage_idx,stage,next_tool,history_tool_calls,history_chars,no_skill_tokens,correct_skill_tokens,shuffled_skill_tokens
task_00,0,boundary comparison,0,REPRODUCE,run_tests,2,209,150,283,283
task_00,0,boundary comparison,1,INSPECT_TEST,read_file,3,371,190,323,323
task_00,0,boundary comparison,2,INSPECT_IMPLEMENTATION,read_file,4,492,217,350,350
task_00,0,boundary comparison,3,REPAIR,edit_file,7,842,295,428,428
task_00,0,boundary comparison,4,TARGET_VERIFY,run_tests,9,1131,357,490,490
task_00,0,boundary comparison,5,REGRESSION_VERIFY,run_tests,10,1236,382,515,515
task_01,1,wrong default,0,REPRODUCE,run_tests,0,33,118,251,251
task_01,1,wrong default,1,INSPECT_TEST,read_file,3,371,192,325,325
task_01,1,wrong default,2,INSPECT_IMPLEMENTATION,read_file,4,496,219,352,352
task_01,1,wrong default,3,REPAIR,edit_file,6,758,279,412,412
task_01,1,wrong default,4,TARGET_VERIFY,run_tests,8,1012,335,468,468
task_01,1,wrong default,5,REGRESSION_VERIFY,run_tests,11,1328,402,535,535
task_02,2,sign error,0,REPRODUCE,run_tests,2,199,147,280,280
task_02,2,sign error,1,INSPECT_TEST,read_file,5,552,226,359,359
task_02,2,sign error,2,INSPECT_IMPLEMENTATION,read_file,7,801,278,411,411
task_02,2,sign error,3,REPAIR,edit_file,9,1058,336,469,469
task_02,2,sign error,4,TARGET_VERIFY,run_tests,10,1224,374,507,507
task_02,2,sign error,5,REGRESSION_VERIFY,run_tests,12,1417,417,550,550
task_03,3,off-by-one,0,REPRODUCE,run_tests,0,33,117,250,250
task_03,3,off-by-one,1,INSPECT_TEST,read_file,1,160,149,282,282
task_03,3,off-by-one,2,INSPECT_IMPLEMENTATION,read_file,3,375,195,328,328
task_03,3,off-by-one,3,REPAIR,edit_file,4,534,234,367,367
task_03,3,off-by-one,4,TARGET_VERIFY,run_tests,5,700,272,405,405
task_03,3,off-by-one,5,REGRESSION_VERIFY,run_tests,7,908,318,451,451
task_04,4,wrong branch,0,REPRODUCE,run_tests,0,33,115,248,248
task_04,4,wrong branch,1,INSPECT_TEST,read_file,3,381,190,323,323
task_04,4,wrong branch,2,INSPECT_IMPLEMENTATION,read_file,5,605,238,371,371
task_04,4,wrong branch,3,REPAIR,edit_file,6,764,277,410,410
task_04,4,wrong branch,4,TARGET_VERIFY,run_tests,7,930,315,448,448
task_04,4,wrong branch,5,REGRESSION_VERIFY,run_tests,9,1133,359,492,492
task_05,5,normalization bug,0,REPRODUCE,run_tests,1,86,125,258,258
task_05,5,normalization bug,1,INSPECT_TEST,read_file,4,459,207,340,340
task_05,5,normalization bug,2,INSPECT_IMPLEMENTATION,read_file,6,688,254,387,387
task_05,5,normalization bug,3,REPAIR,edit_file,8,950,314,447,447
task_05,5,normalization bug,4,TARGET_VERIFY,run_tests,10,1204,370,503,503
task_05,5,normalization bug,5,REGRESSION_VERIFY,run_tests,11,1309,395,528,528
task_06,6,boundary comparison,0,REPRODUCE,run_tests,2,199,152,285,285
task_06,6,boundary comparison,1,INSPECT_TEST,read_file,5,552,231,364,364
task_06,6,boundary comparison,2,INSPECT_IMPLEMENTATION,read_file,6,673,258,391,391
task_06,6,boundary comparison,3,REPAIR,edit_file,9,1053,340,473,473
task_06,6,boundary comparison,4,TARGET_VERIFY,run_tests,10,1219,378,511,511
task_06,6,boundary comparison,5,REGRESSION_VERIFY,run_tests,13,1515,442,575,575
task_07,7,wrong default,0,REPRODUCE,run_tests,2,219,152,285,285
task_07,7,wrong default,1,INSPECT_TEST,read_file,5,582,232,365,365
task_07,7,wrong default,2,INSPECT_IMPLEMENTATION,read_file,8,898,298,431,431
task_07,7,wrong default,3,REPAIR,edit_file,11,1268,379,512,512
task_07,7,wrong default,4,TARGET_VERIFY,run_tests,13,1532,436,569,569
task_07,7,wrong default,5,REGRESSION_VERIFY,run_tests,16,1838,501,634,634
