task_id,task_idx,condition,wording,label,label_name,test_mean_logprob,impl_mean_logprob,impl_minus_test_margin,behavior_pred,behavior_correct,signed_margin_for_correct_action
task_000,0,canonical_test,canonical,0,INSPECT_TEST,-1.226036548614502,-1.2619606256484985,-0.03592407703399658,0,1,0.03592407703399658
task_000,0,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-1.2861355543136597,-0.9210723638534546,0.3650631904602051,1,1,0.3650631904602051
task_000,0,paraphrase_test,paraphrase,0,INSPECT_TEST,-1.3366210460662842,-1.2149813175201416,0.12163972854614258,1,0,-0.12163972854614258
task_000,0,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-1.348536729812622,-0.9883788824081421,0.36015784740448,1,1,0.36015784740448
task_001,1,canonical_test,canonical,0,INSPECT_TEST,-0.9575850367546082,-0.8462874889373779,0.11129754781723022,1,0,-0.11129754781723022
task_001,1,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-0.9361414909362793,-0.653581976890564,0.28255951404571533,1,1,0.28255951404571533
task_001,1,paraphrase_test,paraphrase,0,INSPECT_TEST,-0.9483470320701599,-0.8238532543182373,0.12449377775192261,1,0,-0.12449377775192261
task_001,1,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-0.9806488752365112,-0.6551836133003235,0.32546526193618774,1,1,0.32546526193618774
task_002,2,canonical_test,canonical,0,INSPECT_TEST,-1.2408583164215088,-1.3019671440124512,-0.06110882759094238,0,1,0.06110882759094238
task_002,2,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-1.1176214218139648,-0.9698299169540405,0.14779150485992432,1,1,0.14779150485992432
task_002,2,paraphrase_test,paraphrase,0,INSPECT_TEST,-1.2384541034698486,-1.2091896533966064,0.029264450073242188,1,0,-0.029264450073242188
task_002,2,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-1.1356219053268433,-0.9387375116348267,0.1968843936920166,1,1,0.1968843936920166
task_003,3,canonical_test,canonical,0,INSPECT_TEST,-1.3030452728271484,-1.0457806587219238,0.2572646141052246,1,0,-0.2572646141052246
task_003,3,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-1.4254951477050781,-0.9104751944541931,0.515019953250885,1,1,0.515019953250885
task_003,3,paraphrase_test,paraphrase,0,INSPECT_TEST,-1.3464107513427734,-0.9866390228271484,0.359771728515625,1,0,-0.359771728515625
task_003,3,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-1.5038530826568604,-0.9067243933677673,0.597128689289093,1,1,0.597128689289093
task_004,4,canonical_test,canonical,0,INSPECT_TEST,-0.9620317220687866,-1.0554753541946411,-0.09344363212585449,0,1,0.09344363212585449
task_004,4,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-0.8234990835189819,-0.7875413298606873,0.03595775365829468,1,1,0.03595775365829468
task_004,4,paraphrase_test,paraphrase,0,INSPECT_TEST,-0.9230481386184692,-1.0199127197265625,-0.09686458110809326,0,1,0.09686458110809326
task_004,4,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-0.8568312525749207,-0.8476638793945312,0.009167373180389404,1,1,0.009167373180389404
task_005,5,canonical_test,canonical,0,INSPECT_TEST,-1.3059062957763672,-1.1000440120697021,0.20586228370666504,1,0,-0.20586228370666504
task_005,5,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-1.2666996717453003,-0.9086766839027405,0.3580229878425598,1,1,0.3580229878425598
task_005,5,paraphrase_test,paraphrase,0,INSPECT_TEST,-1.3722772598266602,-1.068985104560852,0.3032921552658081,1,0,-0.3032921552658081
task_005,5,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-1.295985221862793,-0.8743698596954346,0.4216153621673584,1,1,0.4216153621673584
task_006,6,canonical_test,canonical,0,INSPECT_TEST,-1.2506910562515259,-1.2497538328170776,0.0009372234344482422,1,0,-0.0009372234344482422
task_006,6,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-1.2330679893493652,-0.9058699011802673,0.3271980881690979,1,1,0.3271980881690979
task_006,6,paraphrase_test,paraphrase,0,INSPECT_TEST,-1.159458875656128,-1.0158718824386597,0.14358699321746826,1,0,-0.14358699321746826
task_006,6,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,-1.2037529945373535,-0.8785092830657959,0.3252437114715576,1,1,0.3252437114715576
task_007,7,canonical_test,canonical,0,INSPECT_TEST,-0.940883994102478,-0.8355870246887207,0.10529696941375732,1,0,-0.10529696941375732
task_007,7,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,-0.9519425630569458,-0.6652728915214539,0.28666967153549194,1,1,0.28666967153549194
task_007,7,paraphrase_test,paraphrase,0,INSPECT_TEST,-0.950778603553772,-0.8258014917373657,0.12497711181640625,1,0,-0.12497711181640625
