repeat,random_mapping_macro_f1
0,0.45351043643263755
1,0.4839842035980693
2,0.36147685625084836
3,0.4491803278688524
4,0.5213544092266389
5,0.4800486349065989
6,0.49921752738654146
7,0.49978289188015634
8,0.41276921116350196
9,0.3952755905511811
10,0.46955220444342116
11,0.37868223519599664
12,0.4874874874874875
13,0.5252252508313674
14,0.4459616242748773
15,0.4947779616417546
16,0.5035789129902295
17,0.4991304347826087
18,0.44179285281647485
19,0.426120857699805
20,0.4573850959393128
21,0.4920634920634921
22,0.4812689747374871
23,0.41935483870967744
24,0.36587155963302753
