layer,within_wording_macro_f1,within_wording_accuracy,cross_wording_macro_f1,cross_wording_accuracy
0,0.3333333333333333,0.5,0.3333333333333333,0.5
1,1.0,1.0,0.6350602802215706,0.6354166666666666
2,1.0,1.0,0.3333333333333333,0.5
3,0.9895822029300054,0.9895833333333334,0.3399255715045189,0.4947916666666667
4,0.9895822029300054,0.9895833333333334,0.3591989987484355,0.5
5,0.9843745761332501,0.984375,0.3914929107589658,0.5052083333333334
6,0.9739576268887502,0.9739583333333334,0.3875390253834668,0.5104166666666666
7,0.9426943426943426,0.9427083333333334,0.3802197802197802,0.5104166666666666
8,0.9374389051808407,0.9375,0.40382214539517913,0.4947916666666667
9,0.8905982905982905,0.890625,0.5222222222222223,0.5520833333333334
10,0.96875,0.96875,0.43180648481729283,0.5208333333333334
11,0.9791576204950065,0.9791666666666666,0.5,0.5
12,0.9843711843711844,0.984375,0.4925775978407557,0.5104166666666666
13,0.9843711843711844,0.984375,0.5520347259902334,0.5520833333333334
14,1.0,1.0,0.5555555555555556,0.5625
15,1.0,1.0,0.5,0.5
16,1.0,1.0,0.510363537710255,0.5104166666666666
17,1.0,1.0,0.3333333333333333,0.5
18,1.0,1.0,0.3333333333333333,0.5
19,1.0,1.0,0.7093816935599029,0.7239583333333334
20,1.0,1.0,0.6142562267785882,0.6197916666666666
21,1.0,1.0,0.7333333333333334,0.75
22,1.0,1.0,0.44937413542967036,0.5572916666666666
23,1.0,1.0,0.7046153846153846,0.71875
24,1.0,1.0,0.7333333333333334,0.75
25,1.0,1.0,0.5,0.5
26,1.0,1.0,0.7206378768478641,0.7395833333333334
27,1.0,1.0,0.6808564586561487,0.6927083333333334
28,1.0,1.0,0.6006568144499178,0.6041666666666666
