task_id,task_idx,bug_kind,condition,wording,label,label_name,prompt_tokens,test_path_first
task_000,0,boundary,canonical_test,canonical,0,INSPECT_TEST,268,1
task_000,0,boundary,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,268,1
task_000,0,boundary,paraphrase_test,paraphrase,0,INSPECT_TEST,252,1
task_000,0,boundary,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,252,1
task_001,1,default,canonical_test,canonical,0,INSPECT_TEST,287,0
task_001,1,default,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,287,0
task_001,1,default,paraphrase_test,paraphrase,0,INSPECT_TEST,271,0
task_001,1,default,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,271,0
task_002,2,sign,canonical_test,canonical,0,INSPECT_TEST,284,1
task_002,2,sign,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,284,1
task_002,2,sign,paraphrase_test,paraphrase,0,INSPECT_TEST,268,1
task_002,2,sign,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,268,1
task_003,3,off_by_one,canonical_test,canonical,0,INSPECT_TEST,270,0
task_003,3,off_by_one,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,270,0
task_003,3,off_by_one,paraphrase_test,paraphrase,0,INSPECT_TEST,254,0
task_003,3,off_by_one,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,254,0
task_004,4,branch,canonical_test,canonical,0,INSPECT_TEST,286,1
task_004,4,branch,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,286,1
task_004,4,branch,paraphrase_test,paraphrase,0,INSPECT_TEST,270,1
task_004,4,branch,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,270,1
task_005,5,normalization,canonical_test,canonical,0,INSPECT_TEST,288,0
task_005,5,normalization,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,288,0
task_005,5,normalization,paraphrase_test,paraphrase,0,INSPECT_TEST,272,0
task_005,5,normalization,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,272,0
task_006,6,ordering,canonical_test,canonical,0,INSPECT_TEST,269,1
task_006,6,ordering,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,269,1
task_006,6,ordering,paraphrase_test,paraphrase,0,INSPECT_TEST,253,1
task_006,6,ordering,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,253,1
task_007,7,boolean,canonical_test,canonical,0,INSPECT_TEST,287,0
task_007,7,boolean,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,287,0
task_007,7,boolean,paraphrase_test,paraphrase,0,INSPECT_TEST,271,0
task_007,7,boolean,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,271,0
task_008,8,boundary,canonical_test,canonical,0,INSPECT_TEST,283,1
task_008,8,boundary,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,283,1
task_008,8,boundary,paraphrase_test,paraphrase,0,INSPECT_TEST,267,1
task_008,8,boundary,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,267,1
task_009,9,default,canonical_test,canonical,0,INSPECT_TEST,267,0
task_009,9,default,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,267,0
task_009,9,default,paraphrase_test,paraphrase,0,INSPECT_TEST,251,0
task_009,9,default,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,251,0
task_010,10,sign,canonical_test,canonical,0,INSPECT_TEST,285,1
task_010,10,sign,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,1
task_010,10,sign,paraphrase_test,paraphrase,0,INSPECT_TEST,269,1
task_010,10,sign,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,1
task_011,11,off_by_one,canonical_test,canonical,0,INSPECT_TEST,284,0
