task_id,task_idx,test_mean_logprob,impl_mean_logprob,impl_minus_test_margin,prefers_impl
task_000,0,-0.8081415891647339,-0.5776071548461914,0.23053443431854248,1
task_001,1,-0.4977024793624878,-0.3880757689476013,0.10962671041488647,1
task_002,2,-0.9806837439537048,-0.7576236724853516,0.22306007146835327,1
task_003,3,-1.0394638776779175,-0.5933507084846497,0.4461131691932678,1
task_004,4,-0.5506419539451599,-0.48453980684280396,0.06610214710235596,1
task_005,5,-0.9646884202957153,-0.7014606595039368,0.26322776079177856,1
task_006,6,-0.8365077972412109,-0.5607591867446899,0.275748610496521,1
task_007,7,-0.49519968032836914,-0.4457038640975952,0.049495816230773926,1
task_008,8,-0.9521708488464355,-0.7968459725379944,0.15532487630844116,1
task_009,9,-0.9693300724029541,-0.5076949000358582,0.46163517236709595,1
task_010,10,-0.49637776613235474,-0.5343422889709473,-0.03796452283859253,0
task_011,11,-1.0972604751586914,-0.7740041613578796,0.32325631380081177,1
task_012,12,-0.9095888137817383,-0.7154058218002319,0.19418299198150635,1
task_013,13,-0.5159177780151367,-0.4086320400238037,0.10728573799133301,1
task_014,14,-0.954970121383667,-0.791392982006073,0.163577139377594,1
task_015,15,-1.0968025922775269,-0.5911291241645813,0.5056734681129456,1
task_016,16,-0.49495047330856323,-0.48940932750701904,0.0055411458015441895,1
task_017,17,-0.9820272326469421,-0.6643418669700623,0.3176853656768799,1
task_018,18,-0.8328799605369568,-0.6244356632232666,0.20844429731369019,1
task_019,19,-0.5343512296676636,-0.42870432138442993,0.10564690828323364,1
task_020,20,-0.9869465231895447,-0.7407317161560059,0.24621480703353882,1
task_021,21,-0.9594515562057495,-0.4940034747123718,0.4654480814933777,1
task_022,22,-0.5160390734672546,-0.5114659070968628,0.004573166370391846,1
task_023,23,-1.0724120140075684,-0.7439888119697571,0.3284232020378113,1
task_024,24,-0.877787709236145,-0.6561877727508545,0.22159993648529053,1
task_025,25,-0.5893959999084473,-0.3718268573284149,0.21756914258003235,1
task_026,26,-0.9542230367660522,-0.8058376312255859,0.1483854055404663,1
task_027,27,-1.1495163440704346,-0.6050519943237305,0.5444643497467041,1
task_028,28,-0.5072430968284607,-0.49051806330680847,0.01672503352165222,1
task_029,29,-0.9693983793258667,-0.6770938634872437,0.29230451583862305,1
task_030,30,-0.8423984050750732,-0.6239485740661621,0.21844983100891113,1
task_031,31,-0.4931531846523285,-0.4298904538154602,0.06326273083686829,1
task_032,32,-0.9575453996658325,-0.771621584892273,0.18592381477355957,1
task_033,33,-0.9982902407646179,-0.49900373816490173,0.4992865025997162,1
task_034,34,-0.4877030849456787,-0.46936723589897156,0.018335849046707153,1
task_035,35,-1.068355679512024,-0.7320271134376526,0.33632856607437134,1
task_036,36,-0.8162152171134949,-0.598086953163147,0.2181282639503479,1
task_037,37,-0.4753459692001343,-0.3502975404262543,0.12504842877388,1
task_038,38,-0.9481949210166931,-0.727935254573822,0.2202596664428711,1
task_039,39,-1.0747153759002686,-0.5460268259048462,0.5286885499954224,1
task_040,40,-0.5131648778915405,-0.5094131231307983,0.0037517547607421875,1
task_041,41,-1.0332317352294922,-0.6993503570556641,0.3338813781738281,1
task_042,42,-0.7638759613037109,-0.5902840495109558,0.17359191179275513,1
task_043,43,-0.48841166496276855,-0.38162559270858765,0.10678607225418091,1
task_044,44,-1.0156735181808472,-0.7974643707275391,0.2182091474533081,1
task_045,45,-0.9832729697227478,-0.5408360362052917,0.44243693351745605,1
task_046,46,-0.5003732442855835,-0.4710548520088196,0.029318392276763916,1
task_047,47,-1.0767509937286377,-0.7612395882606506,0.31551140546798706,1
