alpha,wording,delta_margin_from_baseline,scope
-2.0,canonical,-0.0018603671342134476,canonical
-2.0,paraphrase,-0.002697441726922989,paraphrase
-1.0,canonical,-0.0005384919544061025,canonical
-1.0,paraphrase,-0.0008202195167541504,paraphrase
-0.5,canonical,8.6197629570961e-05,canonical
-0.5,paraphrase,-0.00018336065113544464,paraphrase
0.5,canonical,0.0006773937493562698,canonical
0.5,paraphrase,0.00013237570722897848,paraphrase
1.0,canonical,0.00045105814933776855,canonical
1.0,paraphrase,0.0016243426750103633,paraphrase
2.0,canonical,0.00025348862012227374,canonical
2.0,paraphrase,0.002443832034866015,paraphrase
-2.0,all,-0.0022789044305682182,all
-1.0,all,-0.0006793557355801264,all
-0.5,all,-4.858151078224182e-05,all
0.5,all,0.0004048847282926242,all
1.0,all,0.0010377004121740658,all
2.0,all,0.0013486603274941444,all
