direction_type,control_id,task_idx,task_id,symmetric_effect
random,0,0,task_000,-0.00029741227626800537
random,0,1,task_001,0.0010949894785881042
random,0,2,task_002,-0.002660125494003296
random,0,3,task_003,-0.0010704323649406433
random,0,4,task_004,-4.239380359649658e-06
random,0,5,task_005,0.0011762157082557678
random,0,6,task_006,-0.0016711503267288208
random,0,7,task_007,-0.0003378838300704956
random,0,8,task_008,0.00025391578674316406
random,0,9,task_009,0.0031188204884529114
random,0,10,task_010,-2.890080213546753e-05
random,0,11,task_011,0.0001272633671760559
random,0,12,task_012,0.00041387975215911865
random,0,13,task_013,0.0034614577889442444
random,0,14,task_014,-0.0008141398429870605
random,0,15,task_015,-0.0006324127316474915
random,0,16,task_016,-0.0021228045225143433
random,0,17,task_017,0.0014119073748588562
random,0,18,task_018,0.0005933567881584167
random,0,19,task_019,0.0011897310614585876
random,0,20,task_020,0.0013071224093437195
random,0,21,task_021,0.002331174910068512
random,0,22,task_022,-0.0013587400317192078
random,0,23,task_023,-0.000552743673324585
random,0,24,task_024,-0.0008480995893478394
random,0,25,task_025,0.003978721797466278
random,0,26,task_026,-0.0006881505250930786
random,0,27,task_027,-0.001750059425830841
random,0,28,task_028,0.00027508288621902466
random,0,29,task_029,0.0037822425365448
random,0,30,task_030,0.00031066685914993286
random,0,31,task_031,-0.002691499888896942
random,0,32,task_032,0.0018793344497680664
random,0,33,task_033,0.0017741024494171143
random,0,34,task_034,-1.887977123260498e-05
random,0,35,task_035,-0.003929950296878815
random,0,36,task_036,-0.0011647120118141174
random,0,37,task_037,0.0023485124111175537
random,0,38,task_038,-0.0009400397539138794
random,0,39,task_039,-0.0005930811166763306
random,0,40,task_040,0.0008405148983001709
random,0,41,task_041,0.0021384358406066895
random,0,42,task_042,0.0008354336023330688
random,0,43,task_043,0.0003366619348526001
random,0,44,task_044,-1.1771917343139648e-06
random,0,45,task_045,0.0010693296790122986
random,0,46,task_046,0.0006469860672950745
random,0,47,task_047,-0.0012745559215545654
random,1,0,task_000,-0.002148374915122986
random,1,1,task_001,-0.0018383115530014038
random,1,2,task_002,0.0010000765323638916
random,1,3,task_003,-0.0013290941715240479
random,1,4,task_004,-0.00021874159574508667
random,1,5,task_005,-0.0024194568395614624
random,1,6,task_006,0.0025491565465927124
random,1,7,task_007,-0.0012328997254371643
random,1,8,task_008,-6.876885890960693e-05
random,1,9,task_009,-0.0012644752860069275
random,1,10,task_010,0.0031085461378097534
random,1,11,task_011,-0.0020142346620559692
random,1,12,task_012,-0.0011337101459503174
random,1,13,task_013,-0.0007138997316360474
random,1,14,task_014,0.0032572895288467407
random,1,15,task_015,-0.00208832323551178
random,1,16,task_016,-0.0021595805883407593
random,1,17,task_017,-0.00048654526472091675
random,1,18,task_018,0.0012523233890533447
random,1,19,task_019,-0.003393709659576416
random,1,20,task_020,0.0002864822745323181
random,1,21,task_021,0.0021628662943840027
random,1,22,task_022,0.002117373049259186
random,1,23,task_023,0.0017263665795326233
random,1,24,task_024,-0.003076709806919098
random,1,25,task_025,-0.00035312771797180176
random,1,26,task_026,-0.0007779151201248169
random,1,27,task_027,-0.0003606155514717102
random,1,28,task_028,-0.0008058249950408936
random,1,29,task_029,0.0008110105991363525
random,1,30,task_030,0.0005948469042778015
random,1,31,task_031,-0.000748857855796814
random,1,32,task_032,0.001167789101600647
random,1,33,task_033,-0.0013053938746452332
random,1,34,task_034,0.0024655312299728394
random,1,35,task_035,-0.001637294888496399
random,1,36,task_036,-0.0015364587306976318
random,1,37,task_037,-0.0004694834351539612
random,1,38,task_038,0.004727251827716827
random,1,39,task_039,-0.001058340072631836
random,1,40,task_040,-0.0016627609729766846
random,1,41,task_041,-0.001125432550907135
random,1,42,task_042,-0.00034528225660324097
random,1,43,task_043,-0.0015626102685928345
random,1,44,task_044,0.0009240955114364624
random,1,45,task_045,0.00016604363918304443
random,1,46,task_046,0.0020587220788002014
random,1,47,task_047,-0.001534491777420044
random,2,0,task_000,0.0012068673968315125
random,2,1,task_001,0.0013947784900665283
random,2,2,task_002,-0.002495184540748596
random,2,3,task_003,-0.0005656406283378601
random,2,4,task_004,-0.0005799606442451477
random,2,5,task_005,-0.0011374801397323608
random,2,6,task_006,-0.0029739663004875183
random,2,7,task_007,-0.003164924681186676
random,2,8,task_008,0.0022608041763305664
random,2,9,task_009,0.0012523457407951355
random,2,10,task_010,-0.00023674964904785156
random,2,11,task_011,-0.0006619542837142944
random,2,12,task_012,0.0016077160835266113
random,2,13,task_013,0.00034724175930023193
random,2,14,task_014,-5.310773849487305e-05
random,2,15,task_015,0.0025998875498771667
random,2,16,task_016,0.002008102834224701
random,2,17,task_017,-0.0011989101767539978
random,2,18,task_018,-0.0016596168279647827
random,2,19,task_019,0.00015197694301605225
random,2,20,task_020,0.0011572018265724182
random,2,21,task_021,0.0013184025883674622
random,2,22,task_022,-0.0009358525276184082
random,2,23,task_023,-0.00038196146488189697
random,2,24,task_024,0.0004899650812149048
random,2,25,task_025,0.0004443749785423279
random,2,26,task_026,-0.0024316534399986267
random,2,27,task_027,-5.170702934265137e-06
random,2,28,task_028,-0.0015421509742736816
random,2,29,task_029,-0.0018664002418518066
random,2,30,task_030,-0.00047090649604797363
random,2,31,task_031,-0.0017240196466445923
random,2,32,task_032,0.0018158406019210815
random,2,33,task_033,-0.00016618520021438599
random,2,34,task_034,-0.0007821246981620789
random,2,35,task_035,-0.0011869892477989197
random,2,36,task_036,0.00034136325120925903
random,2,37,task_037,0.001301094889640808
random,2,38,task_038,-0.002151787281036377
random,2,39,task_039,0.0011511072516441345
random,2,40,task_040,0.00045505911111831665
random,2,41,task_041,-0.00018903613090515137
random,2,42,task_042,-0.0015782862901687622
random,2,43,task_043,-0.0002824738621711731
random,2,44,task_044,0.0011584758758544922
random,2,45,task_045,0.002520054578781128
random,2,46,task_046,-0.0001595914363861084
random,2,47,task_047,-6.6317617893219e-05
random,3,0,task_000,-0.003777347505092621
random,3,1,task_001,-0.003658860921859741
random,3,2,task_002,-0.00022774934768676758
random,3,3,task_003,0.0011567100882530212
random,3,4,task_004,-0.0032988637685775757
random,3,5,task_005,-0.0029211118817329407
random,3,6,task_006,-0.0004901736974716187
random,3,7,task_007,0.00146465003490448
random,3,8,task_008,-0.0037285685539245605
random,3,9,task_009,-0.0012879222631454468
random,3,10,task_010,-0.0005631297826766968
random,3,11,task_011,0.0003956928849220276
random,3,12,task_012,-0.0025995224714279175
random,3,13,task_013,-0.0016263797879219055
random,3,14,task_014,-0.000311240553855896
random,3,15,task_015,0.0005449205636978149
random,3,16,task_016,-0.002402961254119873
random,3,17,task_017,-0.0025269240140914917
random,3,18,task_018,0.00013428926467895508
random,3,19,task_019,0.0023346394300460815
random,3,20,task_020,-0.0020126551389694214
random,3,21,task_021,-5.748867988586426e-05
random,3,22,task_022,0.000936657190322876
random,3,23,task_023,-0.0011530742049217224
random,3,24,task_024,-0.00154925137758255
random,3,25,task_025,-0.0015245750546455383
random,3,26,task_026,0.0015021935105323792
random,3,27,task_027,0.0007927045226097107
random,3,28,task_028,-0.0027061179280281067
random,3,29,task_029,-0.0016098842024803162
random,3,30,task_030,-0.0009186193346977234
random,3,31,task_031,0.001675330102443695
random,3,32,task_032,-0.0035522133111953735
random,3,33,task_033,-0.0006514862179756165
random,3,34,task_034,-0.0008390322327613831
random,3,35,task_035,-0.000796779990196228
random,3,36,task_036,-0.002632826566696167
random,3,37,task_037,-0.0004436373710632324
random,3,38,task_038,-0.00248543918132782
random,3,39,task_039,0.0030200928449630737
random,3,40,task_040,-0.0006691887974739075
random,3,41,task_041,-0.0016046389937400818
random,3,42,task_042,0.0003057718276977539
random,3,43,task_043,0.00044499337673187256
random,3,44,task_044,-0.006003275513648987
random,3,45,task_045,0.00011409074068069458
random,3,46,task_046,-0.0008360818028450012
random,3,47,task_047,-0.0007750466465950012
random,4,0,task_000,-0.0014582127332687378
random,4,1,task_001,-0.0008439198136329651
random,4,2,task_002,0.0022496208548545837
random,4,3,task_003,-0.0029424503445625305
random,4,4,task_004,-0.001139529049396515
random,4,5,task_005,-0.0006370842456817627
random,4,6,task_006,0.0011952146887779236
random,4,7,task_007,-0.000954948365688324
random,4,8,task_008,0.001135319471359253
random,4,9,task_009,-0.0011531338095664978
random,4,10,task_010,0.0011277571320533752
random,4,11,task_011,-0.0026967227458953857
random,4,12,task_012,0.000488579273223877
random,4,13,task_013,8.103251457214355e-05
random,4,14,task_014,0.0002575218677520752
random,4,15,task_015,-0.0036261528730392456
random,4,16,task_016,-0.0010943412780761719
random,4,17,task_017,-0.0011648237705230713
random,4,18,task_018,0.0014772936701774597
random,4,19,task_019,-0.0016811564564704895
random,4,20,task_020,0.0018658563494682312
random,4,21,task_021,-0.001074463129043579
random,4,22,task_022,0.001549266278743744
random,4,23,task_023,-0.001916736364364624
random,4,24,task_024,-0.0008790194988250732
random,4,25,task_025,-0.00026973336935043335
random,4,26,task_026,-0.000474587082862854
random,4,27,task_027,-0.002751164138317108
random,4,28,task_028,-0.0036686211824417114
random,4,29,task_029,-0.00024216622114181519
random,4,30,task_030,0.0005724579095840454
random,4,31,task_031,0.0015278011560440063
random,4,32,task_032,-0.0009513199329376221
random,4,33,task_033,0.00045099109411239624
random,4,34,task_034,-0.001341886818408966
random,4,35,task_035,-0.0013904795050621033
