hidden_state_index,decoder_layer_index,mean_signed_transfer,bootstrap_ci_low,bootstrap_ci_high
1,0,-0.0008310231690605482,-0.0016135233920067547,-0.00010100663639605086
2,1,1.4153930048147837e-05,-0.0007329057048385343,0.0007472187901536623
3,2,7.82556210954984e-05,-0.0007115515026574334,0.0008435305518408601
4,3,0.0004091675703724225,-0.00026363580642888945,0.0010725419192264478
5,4,-0.00024135379741589227,-0.0011091651860624552,0.0006428397027775643
6,5,0.0002770206580559413,-0.00043571707016477976,0.0010191132159282754
7,6,-0.0003443397581577301,-0.001051646106255551,0.0003774659320091195
8,7,-0.0001516540845235189,-0.000900450504074494,0.000579906449032326
9,8,2.5734615822633106e-05,-0.0006899565613518159,0.0007334151848529771
10,9,-0.00013003777712583542,-0.0009228317455078165,0.0006563920294865961
11,10,-0.00042188229660193127,-0.0011550068156793714,0.0002984577557072037
12,11,-0.00017343492557605109,-0.0009590976405888795,0.0006021759783228238
13,12,-0.0004584019382794698,-0.0011123861729477843,0.00021593774047990559
14,13,-0.000578065092364947,-0.0012456729309633374,7.053234924872716e-05
15,14,-0.00022933756311734518,-0.0010694804368540645,0.0006066768119732526
16,15,-0.0005478734771410624,-0.0012304520777737101,0.00013122141050795648
17,16,0.0001196690524617831,-0.0005414175335317849,0.0007690965818862112
18,17,-0.001277480274438858,-0.001981330787142118,-0.0005809849438567959
19,18,0.0011501091842850049,-3.417899521688615e-06,0.0022857664230590056
20,19,0.0020583185056845346,0.00045002469172080356,0.0037057114144166308
21,20,-0.010488940713306269,-0.012293885283482572,-0.008553943736478687
22,21,-0.014311477852364382,-0.01611098200082779,-0.01239125415061911
23,22,-0.015494400635361671,-0.01733621422511836,-0.013617154172000786
24,23,-0.014942052153249582,-0.016855155079004668,-0.012970803297745687
25,24,-0.011224529085059961,-0.013411353877745568,-0.009044892985063294
26,25,-0.012040951599677404,-0.014507410923639934,-0.009564327339952192
27,26,-0.01169300296654304,-0.014028510691908498,-0.009283757962596915
28,27,-0.017217833548784256,-0.020368618549158175,-0.014043236966244876
