task_idx,task_id,signed_transfer_effect
0,task_000,0.002077147364616394
1,task_001,-0.0021807998418807983
2,task_002,-0.0006738603115081787
3,task_003,0.006991341710090637
4,task_004,-0.008944809436798096
5,task_005,0.005303800106048584
6,task_006,0.003040894865989685
7,task_007,-0.003155931830406189
8,task_008,0.0001907944679260254
9,task_009,-0.0011220723390579224
10,task_010,0.0001789182424545288
11,task_011,0.0075483620166778564
12,task_012,7.075071334838867e-05
13,task_013,-0.0010077506303787231
14,task_014,0.009790211915969849
15,task_015,0.003119930624961853
16,task_016,-0.0019254684448242188
17,task_017,-0.001163780689239502
18,task_018,0.004290133714675903
19,task_019,-0.003371700644493103
20,task_020,0.004770547151565552
21,task_021,-0.0010640919208526611
22,task_022,-0.004569783806800842
23,task_023,0.00525839626789093
24,task_024,0.0027292966842651367
25,task_025,0.003293275833129883
26,task_026,0.003697216510772705
27,task_027,0.008352488279342651
28,task_028,-0.0027918070554733276
29,task_029,0.0018520206212997437
30,task_030,0.003102019429206848
31,task_031,-0.004637926816940308
32,task_032,0.004725858569145203
33,task_033,0.0011378824710845947
34,task_034,-0.003148108720779419
35,task_035,0.005183354020118713
36,task_036,0.000380098819732666
37,task_037,0.0009343475103378296
38,task_038,0.008998766541481018
39,task_039,-0.0008430182933807373
40,task_040,-0.0027413666248321533
41,task_041,0.00408579409122467
42,task_042,0.002747446298599243
43,task_043,-0.005394533276557922
44,task_044,0.0027973949909210205
45,task_045,-0.0026269108057022095
46,task_046,-0.0006708353757858276
47,task_047,0.0005913078784942627
