task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,config_role,common_suffix_tokens,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,103,-0.038257718086242676,0.07319474220275879,0.11145246028900146,0.11145246028900146
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,early_H15_H20,primary,103,0.36429792642593384,0.21831607818603516,-0.14598184823989868,0.14598184823989868
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,early_H15_H20,primary,96,0.12719666957855225,0.2465665340423584,0.11936986446380615,0.11936986446380615
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,early_H15_H20,primary,96,0.3710913062095642,0.22194814682006836,-0.14914315938949585,0.14914315938949585
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,late_H21_H28,negative_control,103,-0.038257718086242676,-0.04158139228820801,-0.003323674201965332,-0.003323674201965332
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,late_H21_H28,negative_control,103,0.36429792642593384,0.3555361032485962,-0.008761823177337646,0.008761823177337646
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,96,0.12719666957855225,0.14110946655273438,0.013912796974182129,0.013912796974182129
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,late_H21_H28,negative_control,96,0.3710913062095642,0.34214287996292114,-0.028948426246643066,0.028948426246643066
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,full_H15_H28,positive_control,103,-0.038257718086242676,0.0712352991104126,0.10949301719665527,0.10949301719665527
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,full_H15_H28,positive_control,103,0.36429792642593384,0.2119605541229248,-0.15233737230300903,0.15233737230300903
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,full_H15_H28,positive_control,96,0.12719666957855225,0.25297069549560547,0.12577402591705322,0.12577402591705322
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,full_H15_H28,positive_control,96,0.3710913062095642,0.22119879722595215,-0.14989250898361206,0.14989250898361206
0,task_000,canonical_test,canonical,0,self,canonical_test,0,early_H15_H20,control,268,-0.038257718086242676,-0.038257718086242676,0.0,0.0
0,task_000,canonical_impl,canonical,1,self,canonical_impl,1,early_H15_H20,control,268,0.36429792642593384,0.36429792642593384,0.0,0.0
0,task_000,paraphrase_test,paraphrase,0,self,paraphrase_test,0,early_H15_H20,control,252,0.12719666957855225,0.13244843482971191,0.005251765251159668,0.005251765251159668
0,task_000,paraphrase_impl,paraphrase,1,self,paraphrase_impl,1,early_H15_H20,control,252,0.3710913062095642,0.370327889919281,-0.0007634162902832031,-0.0007634162902832031
0,task_000,canonical_test,canonical,0,same_state_cross_wording,paraphrase_test,0,early_H15_H20,control,69,-0.038257718086242676,-0.08153414726257324,-0.043276429176330566,0.043276429176330566
0,task_000,canonical_impl,canonical,1,same_state_cross_wording,paraphrase_impl,1,early_H15_H20,control,69,0.36429792642593384,0.3488098978996277,-0.015488028526306152,-0.015488028526306152
0,task_000,paraphrase_test,paraphrase,0,same_state_cross_wording,canonical_test,0,early_H15_H20,control,69,0.12719666957855225,0.10679471492767334,-0.020401954650878906,0.020401954650878906
0,task_000,paraphrase_impl,paraphrase,1,same_state_cross_wording,canonical_impl,1,early_H15_H20,control,69,0.3710913062095642,0.34473085403442383,-0.02636045217514038,-0.02636045217514038
0,task_000,canonical_test,canonical,0,opposite_cross_wording,paraphrase_impl,1,early_H15_H20,control,69,-0.038257718086242676,0.06147575378417969,0.09973347187042236,0.09973347187042236
0,task_000,canonical_impl,canonical,1,opposite_cross_wording,paraphrase_test,0,early_H15_H20,control,69,0.36429792642593384,0.19318395853042603,-0.1711139678955078,0.1711139678955078
0,task_000,paraphrase_test,paraphrase,0,opposite_cross_wording,canonical_impl,1,early_H15_H20,control,69,0.12719666957855225,0.24332988262176514,0.11613321304321289,0.11613321304321289
0,task_000,paraphrase_impl,paraphrase,1,opposite_cross_wording,canonical_test,0,early_H15_H20,control,69,0.3710913062095642,0.20253002643585205,-0.16856127977371216,0.16856127977371216
1,task_001,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,121,0.10810762643814087,0.1453005075454712,0.03719288110733032,0.03719288110733032
