task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_condition,donor_label,component,hidden_state_index,decoder_layer_index,common_suffix_tokens,projection_recovery,distance_recovery
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,21,20,103,0.6944394794499145,0.4150933098014833
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,22,21,103,0.7304913065086585,0.4523328002732969
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,23,22,103,0.8754565417009874,0.5915207124048727
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,24,23,103,0.9391965474336246,0.7622425580074553
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,25,24,103,0.6874930688732496,0.39055941698375807
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,26,25,103,0.7649011028164174,0.4727163249484395
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,27,26,103,0.7084956870315645,0.3735588920747811
0,task_000,canonical_test,canonical,0,canonical_impl,1,attn,28,27,103,0.8442040657233206,0.5751778935101826
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,21,20,103,0.958637241092199,0.7964107136833068
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,22,21,103,0.9337721136400542,0.7468413654558588
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,23,22,103,0.9396279154949508,0.7279320914283081
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,24,23,103,0.9465711537400788,0.7627334091888587
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,25,24,103,0.9230946191792735,0.6901479104016774
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,26,25,103,0.9024025488324995,0.6463647019072012
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,27,26,103,0.9122870183173478,0.6204095921385835
0,task_000,canonical_test,canonical,0,canonical_impl,1,mlp,28,27,103,0.8692736937125867,0.6046397824235596
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,21,20,103,0.964788688497878,0.8217673467224511
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,22,21,103,0.9348956929986232,0.7625605508168265
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,23,22,103,0.9302180237445988,0.7393965595002608
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,24,23,103,0.9383760823100308,0.7564119702757268
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,25,24,103,0.9237256018419795,0.7145252788798271
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,26,25,103,0.9173631794305596,0.6884703874352691
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,27,26,103,0.9086963888712414,0.6489848245651593
0,task_000,canonical_test,canonical,0,canonical_impl,1,residual,28,27,103,0.8796621220243971,0.5988082802166312
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,21,20,103,0.6867156055078709,0.41787904233654527
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,22,21,103,0.7052972542200229,0.4123714200998132
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,23,22,103,0.8027437416772344,0.531198822674994
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,24,23,103,0.8394392673422524,0.6046736457232464
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,25,24,103,0.6642884852385809,0.3893238857180247
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,26,25,103,0.7574802299588335,0.4508294699802944
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,27,26,103,0.6667794246380653,0.4151476187522135
0,task_000,canonical_impl,canonical,1,canonical_test,0,attn,28,27,103,0.7048412281392011,0.43635386679402544
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,21,20,103,0.959231883844761,0.8027667695131933
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,22,21,103,0.9295166127315433,0.7451779301108283
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,23,22,103,0.9297798319989525,0.7234821553280506
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,24,23,103,0.8665669264410728,0.6332695186233688
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,25,24,103,0.8698602655214166,0.6313171800813802
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,26,25,103,0.8562226806760455,0.6112521688263477
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,27,26,103,0.8405982389587943,0.5970244730528815
0,task_000,canonical_impl,canonical,1,canonical_test,0,mlp,28,27,103,0.8464648508717827,0.6059691203005106
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,21,20,103,0.9653785077813892,0.8242831938128662
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,22,21,103,0.9236864144112191,0.7548012063630365
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,23,22,103,0.9143477690444737,0.7287374001790763
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,24,23,103,0.8812743196149235,0.6685270437678578
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,25,24,103,0.8650194538442335,0.6369539002961284
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,26,25,103,0.8587832738687048,0.621858753996152
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,27,26,103,0.8451069828362393,0.6035672876400519
0,task_000,canonical_impl,canonical,1,canonical_test,0,residual,28,27,103,0.8413365665811022,0.5912491236350841
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,21,20,96,0.8406860703868875,0.5022388044826542
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,22,21,96,0.6963456955649925,0.45130623096275313
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,23,22,96,0.739541998066235,0.5025712462457304
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,24,23,96,0.7247227659415632,0.4861148237560291
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,25,24,96,0.7625907851550628,0.43174360274189705
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,26,25,96,0.7161559452497906,0.39155204094688656
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,27,26,96,0.6017698119065904,0.21890257421896142
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,28,27,96,0.690735921348496,0.43337159881978526
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,21,20,96,0.9705409803066647,0.8020826065969512
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,22,21,96,0.9378812915381473,0.761657817444281
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,23,22,96,0.9352430016859784,0.7343568879383913
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,24,23,96,0.8341535544126985,0.5918782621588723
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,25,24,96,0.8091868835581151,0.5734566050265169
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,26,25,96,0.8795752926338859,0.6221228202425697
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,27,26,96,0.8421460354779631,0.5409618250607182
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,28,27,96,0.8515566639597958,0.580772800268347
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,21,20,96,0.9733464440724169,0.8313976181674918
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,22,21,96,0.9352630122542929,0.7656949310913141
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,23,22,96,0.9293426751126836,0.7454058336838268
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,24,23,96,0.8588118920331248,0.6433193962796461
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,25,24,96,0.8426006175709763,0.6090330495179775
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,26,25,96,0.8422502459950796,0.5969966271172696
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,27,26,96,0.827621271728069,0.5582999272631497
0,task_000,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,28,27,96,0.8382339271057918,0.544640112891225
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,21,20,96,0.8276933535969077,0.549893880310057
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,22,21,96,0.6287394391228981,0.4098623189418913
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,23,22,96,0.7329002883439026,0.4721643224466501
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,24,23,96,0.6571230598844773,0.33701678496952214
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,25,24,96,0.7398007752739515,0.4683529144888354
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,26,25,96,0.6974663487689062,0.4465874598355387
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,27,26,96,0.6190637720577806,0.3642402621156491
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,28,27,96,0.6289837291222617,0.34764513705933864
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,21,20,96,0.9628178086460439,0.8217047179168244
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,22,21,96,0.9184760534948391,0.7539816678654684
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,23,22,96,0.8979973743274624,0.6829435740104233
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,24,23,96,0.7751112094466396,0.5078051367869956
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,25,24,96,0.7996871055328435,0.5750652359255595
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,26,25,96,0.8354214594457116,0.5916674819406698
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,27,26,96,0.8172296815642565,0.5666280919968536
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,28,27,96,0.8216055455205427,0.572852225798705
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,21,20,96,0.972268207772316,0.8478746067463551
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,22,21,96,0.9226838711212348,0.7645482724415569
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,23,22,96,0.9103551616106482,0.733220909173904
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,24,23,96,0.8189994053697802,0.5649471509796363
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,25,24,96,0.807421889988926,0.5533207096603379
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,26,25,96,0.8060827367476588,0.5514934555407831
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,27,26,96,0.7946791530285291,0.5349907971200754
0,task_000,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,28,27,96,0.8093341563082704,0.5498942032661543
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,21,20,121,0.6499238951160212,0.3681212146801195
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,22,21,121,0.6904969498174315,0.44395895192153223
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,23,22,121,0.7083999741090041,0.44618312202194366
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,24,23,121,0.7291006663801137,0.5297071083177041
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,25,24,121,0.5985632731634077,0.35485415333845916
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,26,25,121,0.6837951255570773,0.40640753787878503
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,27,26,121,0.6207736193116367,0.34088790143284653
1,task_001,canonical_test,canonical,0,canonical_impl,1,attn,28,27,121,0.7333055246244241,0.4810525793593068
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,21,20,121,0.9536607800527523,0.7863663843098794
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,22,21,121,0.9149953668117509,0.727073822103323
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,23,22,121,0.8740521737058434,0.6628644692483597
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,24,23,121,0.8522908468798986,0.6338328103974983
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,25,24,121,0.8143473038798592,0.5591504680982544
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,26,25,121,0.8282770320103716,0.5576964071979764
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,27,26,121,0.8436236955426263,0.5360568262354471
1,task_001,canonical_test,canonical,0,canonical_impl,1,mlp,28,27,121,0.8256604585825743,0.525189748761451
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,21,20,121,0.9589856350474354,0.8095609623090132
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,22,21,121,0.9220302451675696,0.7457398068420412
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,23,22,121,0.8966557105485851,0.7016505904377823
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,24,23,121,0.8541701595743632,0.6486449545728272
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,25,24,121,0.832991620939217,0.6072430450818767
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,26,25,121,0.832385974949844,0.5891415263456572
1,task_001,canonical_test,canonical,0,canonical_impl,1,residual,27,26,121,0.8228708326261178,0.5529397054599836
