component,hidden_state_index,decoder_layer_index,projection_recovery_mean,projection_recovery_ci_low,projection_recovery_ci_high,distance_recovery_mean,distance_recovery_ci_low,distance_recovery_ci_high
attn,21,20,0.7546986002462756,0.7476958506250488,0.7621862134784353,0.4613030250436612,0.4533524196839404,0.470028407459981
attn,22,21,0.7009468124460284,0.6921233442762948,0.7103987859110966,0.4489081497937358,0.4403099120057781,0.45839812225074866
attn,23,22,0.739020160461226,0.7265609232597446,0.7518224731260418,0.4975605721425791,0.48525521431156765,0.5103895322745237
attn,24,23,0.6952242889432038,0.6750619698156862,0.715647844731108,0.4703924846386964,0.4519185289178209,0.4887615266589641
attn,25,24,0.6978306827310309,0.685844668540083,0.7099304792902902,0.4237499531114355,0.41211529493985266,0.43573073538116525
attn,26,25,0.7078034247817856,0.6977161926642651,0.7179505515034376,0.4250096614270995,0.41448948650295914,0.4359164648771874
attn,27,26,0.6400802002267764,0.6301656092289041,0.651081390425424,0.3518435612720556,0.3430567494819994,0.3609274063087315
attn,28,27,0.6653811638015531,0.6519313945659841,0.6782536420869862,0.4210333892601617,0.40891867129903625,0.43292297315283323
mlp,21,20,0.9621678272212592,0.9609767353921777,0.9632998894414805,0.8047889909792442,0.8022114287571427,0.8075193048829762
mlp,22,21,0.9286786011279166,0.9261619021681499,0.9311789341517316,0.7477554781583796,0.7437489540423045,0.7517746406531571
mlp,23,22,0.9100852860050644,0.9054663972973073,0.9148180381963514,0.7054379762641264,0.6991925808929164,0.7119858812261284
mlp,24,23,0.8222025053725172,0.812917049953469,0.8316945406528264,0.5890594242909986,0.579034588193186,0.5996809364083067
mlp,25,24,0.8318813384145051,0.8255309229497312,0.8389257334029885,0.5915719061040802,0.5838162439248609,0.5992965374624899
mlp,26,25,0.8569158491831957,0.8515255242319324,0.8623313287957655,0.5985358709208032,0.5912998442890607,0.6058432449115362
mlp,27,26,0.8502065752337788,0.8449376812472681,0.8555695998224323,0.5764413071421693,0.5691554756082182,0.5841300655316953
mlp,28,27,0.8352775984168778,0.8293647261839188,0.8414923261681259,0.5753292332272597,0.5673448162894521,0.5836344644474267
residual,21,20,0.9685415901614552,0.9676777545494899,0.9693725238084813,0.8290982987171193,0.8271107213565798,0.8310912892086072
residual,22,21,0.9289817543175799,0.927052511386351,0.9308788558216928,0.7593222051905638,0.7565019309368715,0.7623252410945037
residual,23,22,0.9139596757764421,0.9108144088031906,0.9171173961397178,0.7292616318928044,0.724891494784637,0.7338391904214662
residual,24,23,0.8479595881191231,0.8414387707319112,0.8548565070698055,0.6309505594072103,0.6231670121997473,0.6391583652431567
residual,25,24,0.832219075823989,0.8251697729119838,0.8392920022942016,0.5994377779237847,0.5913275347548991,0.6077287033109188
residual,26,25,0.83262743299793,0.8258858581275696,0.839633191999681,0.5881716436100344,0.579988369100478,0.5960932792002418
residual,27,26,0.8230226833057465,0.8165867700088225,0.8298890709509618,0.5645160090995711,0.5569819880442968,0.5720883680562264
residual,28,27,0.8314815247293154,0.8257676455298721,0.8374358311706287,0.5603298769189785,0.5531819946955905,0.5677609647566294
