config,family,boundary,mean,ci_low,ci_high
single_H15,single,15,-0.015800716355443,-0.017076062581812344,-0.01454348963064452
single_H16,single,16,-0.010085508848230043,-0.012214407549860576,-0.007979611780804892
single_H17,single,17,0.006299156074722608,0.004048709392858048,0.008505724417045711
single_H18,single,18,0.041500091552734375,0.0367819386612003,0.04620489416023095
single_H19,single,19,0.030457771693666775,0.02647634393845995,0.034450007424068944
single_H20,single,20,0.04879554764678081,0.04396461096281807,0.05362814960535616
prefix_H15_H16,prefix,16,-0.009776288333038488,-0.011965531134046616,-0.0077515932808940625
prefix_H15_H17,prefix,17,0.008355050658186277,0.0056917355861514805,0.010803509806282818
prefix_H15_H18,prefix,18,0.04403064244737228,0.03898761216551065,0.0490127608568097
prefix_H15_H19,prefix,19,0.0516418165837725,0.04618231586646289,0.057119272920923926
full_H15_H20,prefix,20,0.07839944617201884,0.0717611983185634,0.08519610157236457
suffix_H16_H20,suffix,16,0.0781953592474262,0.07171777750675877,0.08499234493356198
suffix_H17_H20,suffix,17,0.07580743792156379,0.06920350179231415,0.0829215879474456
suffix_H18_H20,suffix,18,0.07602739613503218,0.06987919006496668,0.08230244250347217
suffix_H19_H20,suffix,19,0.05730359380443891,0.051917776946599284,0.06309283589168141
