config,relation,source_h,component,effect_type,mean,ci_low,ci_high,num_tasks
H18_KV_necessity_loss,opposite_same_wording,18,KV,necessity_loss,0.014324796386063099,0.011912128484497467,0.0166004986812671,48
H18_KV_sufficiency,opposite_same_wording,18,KV,sufficiency,0.015950158548851807,0.014123744323539238,0.01769913036841899,48
H18_K_necessity_loss,opposite_same_wording,18,K,necessity_loss,0.002305832381049792,0.0010651446568469207,0.0035448810939366603,48
H18_K_sufficiency,opposite_same_wording,18,K,sufficiency,0.005617826556166013,0.004475267782496909,0.0068120093628143245,48
H18_QKV_control_necessity_loss,opposite_cross_wording,18,QKV,control_necessity_loss,0.022762635101874668,0.02084177201613784,0.02466483611303071,48
H18_QKV_control_sufficiency,opposite_cross_wording,18,QKV,control_sufficiency,0.02292871568351984,0.020922888504962125,0.024974212477294103,48
H18_QKV_control_sufficiency,same_state_cross_wording,18,QKV,control_sufficiency,-0.004910247710843881,-0.005990564016004404,-0.0038934413188447562,48
H18_QKV_control_sufficiency,self,18,QKV,control_sufficiency,0.0001243986189365387,-0.00019181391689926386,0.0004566318898772199,48
H18_QKV_necessity_loss,opposite_same_wording,18,QKV,necessity_loss,0.01452379177014033,0.012170598617133994,0.01681044927487771,48
H18_QKV_sufficiency,opposite_same_wording,18,QKV,sufficiency,0.015470047481358051,0.01348957159401228,0.017445239680819208,48
H18_Q_necessity_loss,opposite_same_wording,18,Q,necessity_loss,-0.0006583010156949362,-0.0016616277086238067,0.00035788749810308144,48
H18_Q_sufficiency,opposite_same_wording,18,Q,sufficiency,-0.00047573354095220566,-0.0012615825980901718,0.0003033410602559642,48
H18_V_necessity_loss,opposite_same_wording,18,V,necessity_loss,0.008806325495243073,0.006846959221487244,0.010676744913992777,48
H18_V_sufficiency,opposite_same_wording,18,V,sufficiency,0.011800084883968035,0.010112690141734978,0.013450198348922034,48
H18_residual,opposite_same_wording,18,RESIDUAL,residual_reference,0.041500091552734375,0.03673817168455571,0.04643781988415867,48
H19_KV_necessity_loss,opposite_same_wording,19,KV,necessity_loss,0.012280666579802832,0.010448003676719964,0.014139701852885385,48
H19_KV_sufficiency,opposite_same_wording,19,KV,sufficiency,0.014139099977910519,0.01249910524735848,0.01568302574257056,48
H19_K_necessity_loss,opposite_same_wording,19,K,necessity_loss,0.00616916020711263,0.004448322424044212,0.007924488047137855,48
H19_K_sufficiency,opposite_same_wording,19,K,sufficiency,0.00017563067376613617,-0.0011164898751303554,0.0015414987690746782,48
H19_QKV_control_necessity_loss,opposite_cross_wording,19,QKV,control_necessity_loss,0.02053206879645586,0.01711819413273285,0.02418912969684849,48
H19_QKV_control_sufficiency,opposite_cross_wording,19,QKV,control_sufficiency,0.020487613665560882,0.01758502293378115,0.023500815352114537,48
H19_QKV_control_sufficiency,same_state_cross_wording,19,QKV,control_sufficiency,-0.005570646685858567,-0.007028227718546987,-0.004089846865584453,48
H19_QKV_control_sufficiency,self,19,QKV,control_sufficiency,-8.919835090637207e-05,-0.0004412617767229676,0.00027873617752144727,48
H19_QKV_necessity_loss,opposite_same_wording,19,QKV,necessity_loss,0.019469875221451122,0.017175751621834934,0.02189547197582821,48
H19_QKV_sufficiency,opposite_same_wording,19,QKV,sufficiency,0.019977564302583534,0.017892449155139427,0.022210347458409767,48
H19_Q_necessity_loss,opposite_same_wording,19,Q,necessity_loss,0.004873629038532575,0.0026162654937555395,0.007215255886937174,48
H19_Q_sufficiency,opposite_same_wording,19,Q,sufficiency,0.008220172487199306,0.005961068836040795,0.010417381480025748,48
H19_V_necessity_loss,opposite_same_wording,19,V,necessity_loss,0.01399320208777984,0.012417735516404111,0.01554827147629112,48
H19_V_sufficiency,opposite_same_wording,19,V,sufficiency,0.009579332855840525,0.007592897241314252,0.011534909298643469,48
H19_residual,opposite_same_wording,19,RESIDUAL,residual_reference,0.030457771693666775,0.02657378939135621,0.0343692554316173,48
H20_KV_necessity_loss,opposite_same_wording,20,KV,necessity_loss,0.044343833501140274,0.04085616368489961,0.047932682543372115,48
H20_KV_sufficiency,opposite_same_wording,20,KV,sufficiency,0.046039726895590626,0.04270665131043643,0.04936382720091691,48
H20_K_necessity_loss,opposite_same_wording,20,K,necessity_loss,0.0012301265572508175,8.810138485083977e-05,0.0024258426933859776,48
H20_K_sufficiency,opposite_same_wording,20,K,sufficiency,8.864731838305791e-05,-0.0009775793955971797,0.0011651965401445802,48
H20_QKV_control_necessity_loss,opposite_cross_wording,20,QKV,control_necessity_loss,0.034469611632327236,0.030991564815243084,0.03788257758133114,48
H20_QKV_control_sufficiency,opposite_cross_wording,20,QKV,control_sufficiency,0.03974820921818415,0.03662099254628023,0.04272709547076375,48
H20_QKV_control_sufficiency,same_state_cross_wording,20,QKV,control_sufficiency,-0.0022185721124211946,-0.003086734136256079,-0.0013161216396838432,48
H20_QKV_control_sufficiency,self,20,QKV,control_sufficiency,-0.00015480909496545792,-0.00043624892520407836,7.969675740847962e-05,48
H20_QKV_necessity_loss,opposite_same_wording,20,QKV,necessity_loss,0.03931715339422226,0.03567040654209753,0.042986481629001594,48
H20_QKV_sufficiency,opposite_same_wording,20,QKV,sufficiency,0.0407846641416351,0.03744140954998632,0.04400573128368705,48
H20_Q_necessity_loss,opposite_same_wording,20,Q,necessity_loss,-0.005694219842553139,-0.007190880870136122,-0.0040974457748234275,48
H20_Q_sufficiency,opposite_same_wording,20,Q,sufficiency,-0.004576736440261205,-0.00597488690012445,-0.0032226928432161623,48
H20_V_necessity_loss,opposite_same_wording,20,V,necessity_loss,0.043759024081130825,0.04053333677972356,0.0468942590833952,48
H20_V_sufficiency,opposite_same_wording,20,V,sufficiency,0.04344554773221413,0.04075507110295196,0.04632481363757203,48
H20_residual,opposite_same_wording,20,RESIDUAL,residual_reference,0.04879554764678081,0.044007422107582295,0.0535900692610691,48
chain_KV_sufficiency,opposite_same_wording,-1,KV,chain_sufficiency,0.06611528682212035,0.06037695723741005,0.07196388921389976,48
chain_QKV_sufficiency,opposite_same_wording,-1,QKV,chain_sufficiency,0.06445092211167018,0.058711406472139065,0.07044153656655301,48
