task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_condition,donor_label,relation,config,family,effect_type,heads,bin_index,value,full_reference
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,H20_residual_reference,reference,residual_reference,all,-1,0.06411266326904297,
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,full_V_sufficiency,reference,sufficiency,all,-1,0.047919631004333496,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,full_V_necessity_loss,reference,necessity_loss,all,-1,0.06331610679626465,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head0_sufficiency,head,sufficiency,0,-1,0.04845285415649414,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head0_necessity_loss,head,necessity_loss,0,-1,0.07092797756195068,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head0_sufficiency,head,sufficiency,"1,2,3",-1,0.0034635066986083984,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head0_necessity_loss,head,necessity_loss,"1,2,3",-1,-0.003821730613708496,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head1_sufficiency,head,sufficiency,1,-1,0.00034809112548828125,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head1_necessity_loss,head,necessity_loss,1,-1,0.01059579849243164,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head1_sufficiency,head,sufficiency,"0,2,3",-1,0.0473475456237793,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head1_necessity_loss,head,necessity_loss,"0,2,3",-1,0.058782339096069336,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head2_sufficiency,head,sufficiency,2,-1,-0.0015946626663208008,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head2_necessity_loss,head,necessity_loss,2,-1,0.0006414651870727539,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head2_sufficiency,head,sufficiency,"0,1,3",-1,0.049331068992614746,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head2_necessity_loss,head,necessity_loss,"0,1,3",-1,0.05941331386566162,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head3_sufficiency,head,sufficiency,3,-1,-0.007971048355102539,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,head3_necessity_loss,head,necessity_loss,3,-1,-7.736682891845703e-05,0.06331610679626465
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head3_sufficiency,head,sufficiency,"0,1,2",-1,0.05645275115966797,0.047919631004333496
0,task_000,canonical_test,canonical,0,canonical_impl,1,opposite_same_wording,all_except_head3_necessity_loss,head,necessity_loss,"0,1,2",-1,0.06894230842590332,0.06331610679626465
