config,relation,family,effect_type,heads,bin_index,mean,ci_low,ci_high,sign_flip_p,num_tasks,bh_q
H20_residual_reference,opposite_same_wording,reference,residual_reference,all,-1,0.04879554764678081,0.04398995983259132,0.05370282501292725,4.999750012499375e-05,48,
all_except_head0_necessity_loss,opposite_same_wording,head,necessity_loss,"1,2,3",-1,-0.0035195456196864447,-0.004447879161064823,-0.0026512227486819033,4.999750012499375e-05,48,
all_except_head0_sufficiency,opposite_same_wording,head,sufficiency,"1,2,3",-1,-0.004787970644732316,-0.005679919415464004,-0.003901168494485319,4.999750012499375e-05,48,
all_except_head1_necessity_loss,opposite_same_wording,head,necessity_loss,"0,2,3",-1,0.04358395468443632,0.04072673264890909,0.04661954661520819,4.999750012499375e-05,48,
all_except_head1_sufficiency,opposite_same_wording,head,sufficiency,"0,2,3",-1,0.04336468751231829,0.040570818625080086,0.04623003939632326,4.999750012499375e-05,48,
all_except_head2_necessity_loss,opposite_same_wording,head,necessity_loss,"0,1,3",-1,0.044602361818154655,0.04172767522589614,0.04766859949255983,4.999750012499375e-05,48,
all_except_head2_sufficiency,opposite_same_wording,head,sufficiency,"0,1,3",-1,0.043934754406412445,0.04091781758858512,0.047041659716827174,4.999750012499375e-05,48,
all_except_head3_necessity_loss,opposite_same_wording,head,necessity_loss,"0,1,2",-1,0.04633511168261369,0.0433316814325129,0.04959971971499423,4.999750012499375e-05,48,
all_except_head3_sufficiency,opposite_same_wording,head,sufficiency,"0,1,2",-1,0.04677375312894583,0.043863169817874824,0.04979434529474626,4.999750012499375e-05,48,
bin0_allheads_necessity_loss,opposite_same_wording,position,necessity_loss,all,0,-0.0007237369815508524,-0.0015192676180352767,4.676022411634507e-05,0.08514574271286436,48,
bin0_allheads_sufficiency,opposite_same_wording,position,sufficiency,all,0,-0.001697109080851078,-0.0025116455586006244,-0.0009179675641159218,0.0002999850007499625,48,
bin1_allheads_necessity_loss,opposite_same_wording,position,necessity_loss,all,1,-0.00014345968763033548,-0.0008964429919918379,0.0006160574189076812,0.72036398180091,48,
bin1_allheads_sufficiency,opposite_same_wording,position,sufficiency,all,1,-0.00107196190704902,-0.0018361326151837905,-0.00030583637611319726,0.008749562521873906,48,
bin2_allheads_necessity_loss,opposite_same_wording,position,necessity_loss,all,2,0.00021370562414328256,-0.0004235489371543129,0.0008182505456109838,0.5131743412829358,48,
bin2_allheads_sufficiency,opposite_same_wording,position,sufficiency,all,2,7.219674686590831e-05,-0.000637862435542047,0.0007543809013441204,0.84000799960002,48,
bin3_allheads_necessity_loss,opposite_same_wording,position,necessity_loss,all,3,-0.00023372812817494074,-0.0009189500783880551,0.00044660034279028575,0.4983750812459377,48,
bin3_allheads_sufficiency,opposite_same_wording,position,sufficiency,all,3,-0.0002513912816842397,-0.0009604436267788212,0.0004560045277078946,0.5018249087545623,48,
bin4_allheads_necessity_loss,opposite_same_wording,position,necessity_loss,all,4,0.001206646052499612,0.0003859933000057936,0.00208625072458138,0.007099645017749113,48,
bin4_allheads_sufficiency,opposite_same_wording,position,sufficiency,all,4,0.0010855070625742276,0.0002891467728962501,0.0018728939893965903,0.009099545022748862,48,
