task_idx,task_id,wording,common_suffix_length,suffix_index,offset_from_generation_boundary,bin_index,token_id,decoded_token
0,task_000,canonical,103,0,-103,0,624,".
"
0,task_000,canonical,103,1,-102,0,19,4
0,task_000,canonical,103,2,-101,0,13,.
0,task_000,canonical,103,3,-100,0,3596, RE
0,task_000,canonical,103,4,-99,0,82966,PAIR
0,task_000,canonical,103,5,-98,0,1959, —
0,task_000,canonical,103,6,-97,0,7405, Make
0,task_000,canonical,103,7,-96,0,279, the
0,task_000,canonical,103,8,-95,0,24632, smallest
0,task_000,canonical,103,9,-94,0,2297, change
0,task_000,canonical,103,10,-93,0,429, that
0,task_000,canonical,103,11,-92,0,14230, addresses
0,task_000,canonical,103,12,-91,0,279, the
0,task_000,canonical,103,13,-90,0,3704, root
0,task_000,canonical,103,14,-89,0,5240, cause
0,task_000,canonical,103,15,-88,0,624,".
"
0,task_000,canonical,103,16,-87,0,20,5
0,task_000,canonical,103,17,-86,0,13,.
0,task_000,canonical,103,18,-85,1,41033, TARGET
0,task_000,canonical,103,19,-84,1,56042,_VERIFY
0,task_000,canonical,103,20,-83,1,1959, —
0,task_000,canonical,103,21,-82,1,6452, Run
0,task_000,canonical,103,22,-81,1,279, the
0,task_000,canonical,103,23,-80,1,5961, directly
0,task_000,canonical,103,24,-79,1,11495, affected
0,task_000,canonical,103,25,-78,1,1273, test
0,task_000,canonical,103,26,-77,1,624,".
"
0,task_000,canonical,103,27,-76,1,21,6
0,task_000,canonical,103,28,-75,1,13,.
0,task_000,canonical,103,29,-74,1,13676, REG
0,task_000,canonical,103,30,-73,1,81663,RESSION
0,task_000,canonical,103,31,-72,1,56042,_VERIFY
0,task_000,canonical,103,32,-71,1,1959, —
0,task_000,canonical,103,33,-70,1,6452, Run
0,task_000,canonical,103,34,-69,1,279, the
0,task_000,canonical,103,35,-68,2,4583, complete
0,task_000,canonical,103,36,-67,2,1273, test
0,task_000,canonical,103,37,-66,2,16182, suite
0,task_000,canonical,103,38,-65,2,624,".
"
0,task_000,canonical,103,39,-64,2,15081,-----
0,task_000,canonical,103,40,-63,2,12072, SK
0,task_000,canonical,103,41,-62,2,9228,ILL
0,task_000,canonical,103,42,-61,2,11176, END
0,task_000,canonical,103,43,-60,2,11304, ----
0,task_000,canonical,103,44,-59,2,10452,"-

"
0,task_000,canonical,103,45,-58,2,20294,Execution
0,task_000,canonical,103,46,-57,2,3840, history
0,task_000,canonical,103,47,-56,2,510,":
"
0,task_000,canonical,103,48,-55,2,2512,Action
0,task_000,canonical,103,49,-54,2,25,:
0,task_000,canonical,103,50,-53,2,1598, run
0,task_000,canonical,103,51,-52,2,32509,_tests
0,task_000,canonical,103,52,-51,3,492,('
0,task_000,canonical,103,53,-50,3,23841,tests
0,task_000,canonical,103,54,-49,3,12697,/test
0,task_000,canonical,103,55,-48,3,17069,_feature
0,task_000,canonical,103,56,-47,3,62,_
0,task_000,canonical,103,57,-46,3,15,0
0,task_000,canonical,103,58,-45,3,15,0
0,task_000,canonical,103,59,-44,3,15,0
0,task_000,canonical,103,60,-43,3,7197,.py
0,task_000,canonical,103,61,-42,3,1305,"')
"
0,task_000,canonical,103,62,-41,3,37763,Observ
0,task_000,canonical,103,63,-40,3,367,ation
0,task_000,canonical,103,64,-39,3,25,:
0,task_000,canonical,103,65,-38,3,33107, FAIL
0,task_000,canonical,103,66,-37,3,25,:
0,task_000,canonical,103,67,-36,3,7032, tests
0,task_000,canonical,103,68,-35,3,12697,/test
0,task_000,canonical,103,69,-34,4,17069,_feature
0,task_000,canonical,103,70,-33,4,62,_
0,task_000,canonical,103,71,-32,4,15,0
0,task_000,canonical,103,72,-31,4,15,0
0,task_000,canonical,103,73,-30,4,15,0
0,task_000,canonical,103,74,-29,4,7197,.py
0,task_000,canonical,103,75,-28,4,486,::
0,task_000,canonical,103,76,-27,4,1944,test
0,task_000,canonical,103,77,-26,4,17069,_feature
0,task_000,canonical,103,78,-25,4,62,_
0,task_000,canonical,103,79,-24,4,15,0
0,task_000,canonical,103,80,-23,4,15,0
0,task_000,canonical,103,81,-22,4,15,0
0,task_000,canonical,103,82,-21,4,26,;
0,task_000,canonical,103,83,-20,4,13166, observed
0,task_000,canonical,103,84,-19,4,7709, behavior
0,task_000,canonical,103,85,-18,4,22296, contrad
0,task_000,canonical,103,86,-17,5,29995,icts
0,task_000,canonical,103,87,-16,5,279, the
