task_idx,task_id,recipient_condition,recipient_wording,recipient_label,common_suffix_length,suffix_index,offset,token_id,decoded_token
0,task_000,canonical_test,canonical,0,103,86,-17,29995,icts
0,task_000,canonical_test,canonical,0,103,87,-16,279, the
0,task_000,canonical_test,canonical,0,103,88,-15,3601, expected
0,task_000,canonical_test,canonical,0,103,89,-14,7709, behavior
0,task_000,canonical_test,canonical,0,103,90,-13,382,".

"
0,task_000,canonical_test,canonical,0,103,91,-12,24051,Choose
0,task_000,canonical_test,canonical,0,103,92,-11,279, the
0,task_000,canonical_test,canonical,0,103,93,-10,3175, single
0,task_000,canonical_test,canonical,0,103,94,-9,1790, next
0,task_000,canonical_test,canonical,0,103,95,-8,1917, action
0,task_000,canonical_test,canonical,0,103,96,-7,1431, now
0,task_000,canonical_test,canonical,0,103,97,-6,624,".
"
0,task_000,canonical_test,canonical,0,103,98,-5,151645,<|im_end|>
0,task_000,canonical_test,canonical,0,103,99,-4,198,"
"
0,task_000,canonical_test,canonical,0,103,100,-3,151644,<|im_start|>
0,task_000,canonical_test,canonical,0,103,101,-2,77091,assistant
0,task_000,canonical_test,canonical,0,103,102,-1,198,"
"
0,task_000,canonical_impl,canonical,1,103,86,-17,29995,icts
0,task_000,canonical_impl,canonical,1,103,87,-16,279, the
0,task_000,canonical_impl,canonical,1,103,88,-15,3601, expected
0,task_000,canonical_impl,canonical,1,103,89,-14,7709, behavior
0,task_000,canonical_impl,canonical,1,103,90,-13,382,".

"
0,task_000,canonical_impl,canonical,1,103,91,-12,24051,Choose
0,task_000,canonical_impl,canonical,1,103,92,-11,279, the
0,task_000,canonical_impl,canonical,1,103,93,-10,3175, single
0,task_000,canonical_impl,canonical,1,103,94,-9,1790, next
0,task_000,canonical_impl,canonical,1,103,95,-8,1917, action
0,task_000,canonical_impl,canonical,1,103,96,-7,1431, now
0,task_000,canonical_impl,canonical,1,103,97,-6,624,".
"
0,task_000,canonical_impl,canonical,1,103,98,-5,151645,<|im_end|>
0,task_000,canonical_impl,canonical,1,103,99,-4,198,"
"
0,task_000,canonical_impl,canonical,1,103,100,-3,151644,<|im_start|>
0,task_000,canonical_impl,canonical,1,103,101,-2,77091,assistant
0,task_000,canonical_impl,canonical,1,103,102,-1,198,"
"
0,task_000,paraphrase_test,paraphrase,0,96,80,-16,279, the
0,task_000,paraphrase_test,paraphrase,0,96,81,-15,3601, expected
0,task_000,paraphrase_test,paraphrase,0,96,82,-14,7709, behavior
0,task_000,paraphrase_test,paraphrase,0,96,83,-13,382,".

"
0,task_000,paraphrase_test,paraphrase,0,96,84,-12,24051,Choose
0,task_000,paraphrase_test,paraphrase,0,96,85,-11,279, the
0,task_000,paraphrase_test,paraphrase,0,96,86,-10,3175, single
0,task_000,paraphrase_test,paraphrase,0,96,87,-9,1790, next
0,task_000,paraphrase_test,paraphrase,0,96,88,-8,1917, action
0,task_000,paraphrase_test,paraphrase,0,96,89,-7,1431, now
0,task_000,paraphrase_test,paraphrase,0,96,90,-6,624,".
"
0,task_000,paraphrase_test,paraphrase,0,96,91,-5,151645,<|im_end|>
0,task_000,paraphrase_test,paraphrase,0,96,92,-4,198,"
"
0,task_000,paraphrase_test,paraphrase,0,96,93,-3,151644,<|im_start|>
0,task_000,paraphrase_test,paraphrase,0,96,94,-2,77091,assistant
0,task_000,paraphrase_test,paraphrase,0,96,95,-1,198,"
"
0,task_000,paraphrase_impl,paraphrase,1,96,80,-16,279, the
0,task_000,paraphrase_impl,paraphrase,1,96,81,-15,3601, expected
0,task_000,paraphrase_impl,paraphrase,1,96,82,-14,7709, behavior
0,task_000,paraphrase_impl,paraphrase,1,96,83,-13,382,".

"
0,task_000,paraphrase_impl,paraphrase,1,96,84,-12,24051,Choose
0,task_000,paraphrase_impl,paraphrase,1,96,85,-11,279, the
0,task_000,paraphrase_impl,paraphrase,1,96,86,-10,3175, single
0,task_000,paraphrase_impl,paraphrase,1,96,87,-9,1790, next
0,task_000,paraphrase_impl,paraphrase,1,96,88,-8,1917, action
0,task_000,paraphrase_impl,paraphrase,1,96,89,-7,1431, now
0,task_000,paraphrase_impl,paraphrase,1,96,90,-6,624,".
"
0,task_000,paraphrase_impl,paraphrase,1,96,91,-5,151645,<|im_end|>
0,task_000,paraphrase_impl,paraphrase,1,96,92,-4,198,"
"
0,task_000,paraphrase_impl,paraphrase,1,96,93,-3,151644,<|im_start|>
0,task_000,paraphrase_impl,paraphrase,1,96,94,-2,77091,assistant
0,task_000,paraphrase_impl,paraphrase,1,96,95,-1,198,"
"
1,task_001,canonical_test,canonical,0,121,101,-20,13166, observed
1,task_001,canonical_test,canonical,0,121,102,-19,7709, behavior
1,task_001,canonical_test,canonical,0,121,103,-18,22296, contrad
1,task_001,canonical_test,canonical,0,121,104,-17,29995,icts
1,task_001,canonical_test,canonical,0,121,105,-16,279, the
1,task_001,canonical_test,canonical,0,121,106,-15,3601, expected
1,task_001,canonical_test,canonical,0,121,107,-14,7709, behavior
1,task_001,canonical_test,canonical,0,121,108,-13,382,".

"
1,task_001,canonical_test,canonical,0,121,109,-12,24051,Choose
1,task_001,canonical_test,canonical,0,121,110,-11,279, the
1,task_001,canonical_test,canonical,0,121,111,-10,3175, single
1,task_001,canonical_test,canonical,0,121,112,-9,1790, next
1,task_001,canonical_test,canonical,0,121,113,-8,1917, action
1,task_001,canonical_test,canonical,0,121,114,-7,1431, now
1,task_001,canonical_test,canonical,0,121,115,-6,624,".
"
1,task_001,canonical_test,canonical,0,121,116,-5,151645,<|im_end|>
1,task_001,canonical_test,canonical,0,121,117,-4,198,"
"
1,task_001,canonical_test,canonical,0,121,118,-3,151644,<|im_start|>
1,task_001,canonical_test,canonical,0,121,119,-2,77091,assistant
1,task_001,canonical_test,canonical,0,121,120,-1,198,"
"
1,task_001,canonical_impl,canonical,1,121,101,-20,13166, observed
1,task_001,canonical_impl,canonical,1,121,102,-19,7709, behavior
1,task_001,canonical_impl,canonical,1,121,103,-18,22296, contrad
1,task_001,canonical_impl,canonical,1,121,104,-17,29995,icts
1,task_001,canonical_impl,canonical,1,121,105,-16,279, the
1,task_001,canonical_impl,canonical,1,121,106,-15,3601, expected
1,task_001,canonical_impl,canonical,1,121,107,-14,7709, behavior
