cohort,task_id,family,recipient_label,recipient_wording,donor_label,donor_wording,relation,metric,value,reader_leakage_ratio,reader_baseline_margin_diff,reader_v_effect_diff
skill,exp12_test_edit_00,test_edit,0,canonical,-1,,baseline,behavior_correct,1.0,,,
skill,exp12_test_edit_00,test_edit,0,canonical,-1,,baseline,baseline_signed_preference,1.4688851330429316,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,-1,,baseline,behavior_correct,1.0,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,-1,,baseline,baseline_signed_preference,1.5239509753882885,,,
skill,exp12_test_edit_00,test_edit,1,canonical,-1,,baseline,behavior_correct,1.0,,,
skill,exp12_test_edit_00,test_edit,1,canonical,-1,,baseline,baseline_signed_preference,0.3100549131631851,,,
skill,exp12_test_edit_00,test_edit,1,paraphrase,-1,,baseline,behavior_correct,1.0,,,
skill,exp12_test_edit_00,test_edit,1,paraphrase,-1,,baseline,baseline_signed_preference,0.14109377562999725,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,H20_residual_reference,1.6465383488684893,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,frozen_V_sufficiency,-0.04428147152066231,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,frozen_V_necessity_loss,0.07438008487224579,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,negative_offset_V_sufficiency,0.006755197420716286,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,negative_offset_V_necessity_loss,0.011719048023223877,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,verified_v_effect,-0.04428147152066231,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,target_reader_sufficiency,0.09762594290077686,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,target_reader_necessity,0.05385372042655945,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,negative_reader_sufficiency,-0.1159401647746563,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,negative_reader_necessity,-0.1685978602617979,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,all7_reader_sufficiency,-0.04428147152066231,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,all7_reader_necessity,-0.04428147152066231,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,non_kv0_reader_sufficiency,0.0,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,canonical,opposite_same_wording,non_kv0_reader_necessity,0.0,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,canonical,1,paraphrase,opposite_cross_wording,cross_H20_residual_reference,1.4644265864044428,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,paraphrase,opposite_cross_wording,cross_frozen_V_sufficiency,-0.04666260443627834,,,
skill,exp12_test_edit_00,test_edit,0,canonical,1,paraphrase,opposite_cross_wording,cross_frozen_V_necessity_loss,0.053425535559654236,,,
skill,exp12_test_edit_00,test_edit,0,canonical,0,paraphrase,same_state_cross_wording,same_state_frozen_V_control,-0.006703559309244156,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,H20_residual_reference,1.6148759238421917,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,frozen_V_sufficiency,-0.06162312999367714,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,frozen_V_necessity_loss,0.06798498332500458,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,negative_offset_V_sufficiency,-0.0158401932567358,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,negative_offset_V_necessity_loss,0.017417266964912415,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,verified_v_effect,-0.06162312999367714,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,target_reader_sufficiency,0.06344585493206978,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,target_reader_necessity,0.03656964935362339,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,negative_reader_sufficiency,-0.12318094074726105,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,negative_reader_necessity,-0.15280843153595924,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,all7_reader_sufficiency,-0.06162312999367714,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,all7_reader_necessity,-0.06162312999367714,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,non_kv0_reader_sufficiency,0.0,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,paraphrase,opposite_same_wording,non_kv0_reader_necessity,0.0,0.0,0.0,0.0
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,canonical,opposite_cross_wording,cross_H20_residual_reference,1.853083748370409,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,canonical,opposite_cross_wording,cross_frozen_V_sufficiency,-0.06129052676260471,,,
skill,exp12_test_edit_00,test_edit,0,paraphrase,1,canonical,opposite_cross_wording,cross_frozen_V_necessity_loss,0.05997001379728317,,,
