scope,family,metric,skill_mean,skill_ci_low,skill_ci_high,direct_mean,direct_ci_low,direct_ci_high,skill_minus_direct_mean,skill_minus_direct_ci_low,skill_minus_direct_ci_high,num_tasks
overall,ALL,H20_residual_reference,1.2918557846278418,1.2581590313824562,1.3264161558381602,1.1576568451382627,1.085152630963148,1.2318871379426126,0.13419893948957906,0.06352220603994284,0.2038885936133738,64
family,test_edit,H20_residual_reference,1.3652942752814852,,,0.9828767412691377,,,0.38241753401234746,0.3586994450775819,0.40373811428980844,16
family,search_edit,H20_residual_reference,1.2947476507979445,,,1.424055658688303,,,-0.12930800789035857,-0.1595638299746497,-0.1047497716765065,16
family,config_command,H20_residual_reference,1.2051788932294585,,,0.7895690572622698,,,0.4156098359671887,0.3926378719668719,0.4404946625800221,16
family,docs_code,H20_residual_reference,1.302202319202479,,,1.4341259233333403,,,-0.13192360413086135,-0.23138351207053348,-0.04936969828595472,16
overall,ALL,frozen_V_sufficiency,0.00727642368292436,0.0012334912902588258,0.01328499025075869,-0.06439519343803113,-0.07293606678663309,-0.05574321070594124,0.07167161712095549,0.06374902065103924,0.0791484203991331,64
family,test_edit,frozen_V_sufficiency,0.011476112063974142,,,-0.012656122707994655,,,0.024132234771968797,0.019202760492407833,0.028635868642959392,16
family,search_edit,frozen_V_sufficiency,0.00873644754756242,,,-0.08557170612039044,,,0.09430815366795287,0.0872747357483604,0.10135158458579098,16
family,config_command,frozen_V_sufficiency,0.0368583255331032,,,-0.05930896851350553,,,0.09616729404660873,0.09064264515109244,0.10120354770770064,16
family,docs_code,frozen_V_sufficiency,-0.02796519041294232,,,-0.10004397641023388,,,0.07207878599729156,0.06521116708445333,0.08012570012724608,16
overall,ALL,frozen_V_necessity_loss,0.0027145165513502434,-0.0036692504974780603,0.008518213080606074,-0.030891139580489835,-0.03567885484444559,-0.026131939604783837,0.03360565613184008,0.027812506783266144,0.039223264656902755,64
family,test_edit,frozen_V_necessity_loss,0.011217532970476896,,,-0.006343785265926272,,,0.017561318236403167,0.013942046577358268,0.0211798097443534,16
family,search_edit,frozen_V_necessity_loss,0.010516624664887786,,,-0.04627245583105832,,,0.05678908049594611,0.049548545091238336,0.06406817214810871,16
family,config_command,frozen_V_necessity_loss,0.023580317152664065,,,-0.022945311851799488,,,0.04652562900446355,0.041902267943805784,0.05139979811065131,16
family,docs_code,frozen_V_necessity_loss,-0.03445640858262777,,,-0.048003005373175256,,,0.013546596790547483,0.0029364483576500787,0.023002228380937594,16
overall,ALL,target_reader_sufficiency,0.09983351211121771,0.0965905240864231,0.1030313627790747,0.03204115193875623,0.027276293541581252,0.036768087193922834,0.06779236017246149,0.06290234086281998,0.07270210455380947,64
family,test_edit,target_reader_sufficiency,0.09826274996157736,,,0.05382175916747656,,,0.0444409907941008,0.037709325294054,0.05034548780058685,16
family,search_edit,target_reader_sufficiency,0.11026330449385568,,,0.0360713505797321,,,0.07419195391412359,0.06689064999409311,0.08127177961978305,16
family,config_command,target_reader_sufficiency,0.09289190539857373,,,0.015111155051272362,,,0.07778075034730136,0.07276635637172149,0.08273903050285299,16
family,docs_code,target_reader_sufficiency,0.09791608859086409,,,0.0231603429565439,,,0.07475574563432019,0.0659235256138345,0.08524467385177557,16
overall,ALL,target_reader_necessity,0.08318511646939442,0.08002421652490739,0.08647250562280533,0.023594328953549848,0.019453096810002533,0.02760266817986121,0.05959078751584457,0.054854237580047996,0.0643908838920197,64
family,test_edit,target_reader_necessity,0.07436780299758539,,,0.04088005737867206,,,0.03348774561891332,0.02988596217401209,0.03698605173267424,16
family,search_edit,target_reader_necessity,0.09936971380375326,,,0.026912151428405195,,,0.07245756237534806,0.06751543074315122,0.07701790075589088,16
family,config_command,target_reader_necessity,0.08245810470543802,,,0.00894058108679019,,,0.07351752361864783,0.068058609203581,0.079352887411369,16
family,docs_code,target_reader_necessity,0.076544844370801,,,0.017644525920331944,,,0.05890031845046906,0.052485401101330355,0.06555910866427438,16
