cohort,task_id,family,recipient_label,recipient_wording,donor_label,donor_wording,relation,metric,value,reader_leakage_ratio,reader_baseline_margin_diff,reader_v_effect_diff
direct,exp12_test_edit_00,test_edit,0,direct,-1,,baseline,behavior_correct,1.0,,,
direct,exp12_test_edit_00,test_edit,0,direct,-1,,baseline,baseline_signed_preference,1.0413257549516857,,,
direct,exp12_test_edit_00,test_edit,1,direct,-1,,baseline,behavior_correct,1.0,,,
direct,exp12_test_edit_00,test_edit,1,direct,-1,,baseline,baseline_signed_preference,0.4236816819757223,,,
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,H20_residual_reference,1.2268813303671777,,,
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,frozen_V_sufficiency,-0.01776945823803544,,,
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,frozen_V_necessity_loss,-0.007790949195623398,,,
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,verified_v_effect,-0.01776945823803544,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,target_reader_sufficiency,0.0535489353351295,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,target_reader_necessity,0.027475984767079353,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,all7_reader_sufficiency,-0.01776945823803544,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,all7_reader_necessity,-0.01776945823803544,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,non_kv0_reader_sufficiency,0.0,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,0,direct,1,direct,opposite,non_kv0_reader_necessity,0.0,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,H20_residual_reference,0.9509403789415956,,,
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,frozen_V_sufficiency,-0.02104327455163002,,,
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,frozen_V_necessity_loss,-0.0001390557736158371,,,
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,verified_v_effect,-0.02104327455163002,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,target_reader_sufficiency,0.05935715511441231,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,target_reader_necessity,0.04668414779007435,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,all7_reader_sufficiency,-0.02104327455163002,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,all7_reader_necessity,-0.02104327455163002,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,non_kv0_reader_sufficiency,-0.0,0.0,0.0,0.0
direct,exp12_test_edit_00,test_edit,1,direct,0,direct,opposite,non_kv0_reader_necessity,0.0,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,-1,,baseline,behavior_correct,1.0,,,
direct,exp12_test_edit_01,test_edit,0,direct,-1,,baseline,baseline_signed_preference,0.9966051038354635,,,
direct,exp12_test_edit_01,test_edit,1,direct,-1,,baseline,behavior_correct,1.0,,,
direct,exp12_test_edit_01,test_edit,1,direct,-1,,baseline,baseline_signed_preference,0.42786020413041115,,,
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,H20_residual_reference,1.180943412706256,,,
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,frozen_V_sufficiency,-0.02673310413956642,,,
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,frozen_V_necessity_loss,-0.008696485310792923,,,
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,verified_v_effect,-0.02673310413956642,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,target_reader_sufficiency,0.06247146334499121,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,target_reader_necessity,0.04461516905575991,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,all7_reader_sufficiency,-0.02673310413956642,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,all7_reader_necessity,-0.02673310413956642,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,non_kv0_reader_sufficiency,0.0,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,0,direct,1,direct,opposite,non_kv0_reader_necessity,0.0,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,H20_residual_reference,0.937236949801445,,,
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,frozen_V_sufficiency,-0.012356920167803764,,,
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,frozen_V_necessity_loss,-0.01691027358174324,,,
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,verified_v_effect,-0.012356920167803764,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,target_reader_sufficiency,0.05537007562816143,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,target_reader_necessity,0.051181770861148834,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,all7_reader_sufficiency,-0.012356920167803764,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,all7_reader_necessity,-0.012356920167803764,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,non_kv0_reader_sufficiency,-0.0,0.0,0.0,0.0
direct,exp12_test_edit_01,test_edit,1,direct,0,direct,opposite,non_kv0_reader_necessity,0.0,0.0,0.0,0.0
direct,exp12_test_edit_02,test_edit,0,direct,-1,,baseline,behavior_correct,1.0,,,
direct,exp12_test_edit_02,test_edit,0,direct,-1,,baseline,baseline_signed_preference,0.9882059823721647,,,
direct,exp12_test_edit_02,test_edit,1,direct,-1,,baseline,behavior_correct,1.0,,,
direct,exp12_test_edit_02,test_edit,1,direct,-1,,baseline,baseline_signed_preference,0.42266929149627686,,,
direct,exp12_test_edit_02,test_edit,0,direct,1,direct,opposite,H20_residual_reference,1.1814417261630297,,,
direct,exp12_test_edit_02,test_edit,0,direct,1,direct,opposite,frozen_V_sufficiency,1.766858622431755e-05,,,
direct,exp12_test_edit_02,test_edit,0,direct,1,direct,opposite,frozen_V_necessity_loss,-0.008442070335149765,,,
