phase,task_id,family,recipient_wording,recipient_label,donor_wording,donor_label,relation,anchor,metric,value
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,8.220039308071136e-05
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,0.008928470313549042
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,V_sufficiency,0.026757294312119484
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,V_necessity_loss,0.008892899379134178
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,ISSUE_END,V_sufficiency,-1.3338401913642883e-05
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,ISSUE_END,V_necessity_loss,-0.007890354841947556
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,DETAIL_END,V_sufficiency,-5.046464502811432e-05
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,DETAIL_END,V_necessity_loss,-0.008751701563596725
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION0_END,V_sufficiency,0.017973516136407852
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION0_END,V_necessity_loss,0.042356474325060844
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,V_sufficiency,-2.3193657398223877e-05
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,V_necessity_loss,0.01072024367749691
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,FINAL_INSTRUCTION_END,V_sufficiency,0.015948835760354996
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,FINAL_INSTRUCTION_END,V_necessity_loss,0.009357068687677383
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,V_sufficiency,0.07874997332692146
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,V_necessity_loss,0.13287398591637611
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,V_sufficiency,-0.05333270877599716
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,V_necessity_loss,0.13722005859017372
discovery,exp12_test_edit_00,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,SKILL_END,V_sufficiency,0.0015960223972797394
discovery,exp12_test_edit_00,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,SKILL_END,V_necessity_loss,0.01593910902738571
discovery,exp12_test_edit_00,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,SYSTEM_END,V_sufficiency,-0.007007792592048645
discovery,exp12_test_edit_00,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,SYSTEM_END,V_necessity_loss,-0.008931953459978104
discovery,exp12_test_edit_00,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,ISSUE_END,V_sufficiency,0.008754083886742592
