task_id,family,wording,label,head,suff
exp12_test_edit_00,test_edit,canonical,0,0,0.004415319534018636
exp12_test_edit_00,test_edit,canonical,0,1,-0.004376547411084175
exp12_test_edit_00,test_edit,canonical,0,2,0.021982412785291672
exp12_test_edit_00,test_edit,canonical,0,3,0.013160460628569126
exp12_test_edit_00,test_edit,canonical,0,4,0.004405207699164748
exp12_test_edit_00,test_edit,canonical,0,5,0.00871988944709301
exp12_test_edit_00,test_edit,canonical,0,6,0.013146009063348174
exp12_test_edit_00,test_edit,canonical,0,7,0.0
exp12_test_edit_00,test_edit,canonical,0,8,0.0
exp12_test_edit_00,test_edit,canonical,0,9,0.0
exp12_test_edit_00,test_edit,canonical,0,10,0.0
exp12_test_edit_00,test_edit,canonical,0,11,0.0
exp12_test_edit_00,test_edit,canonical,0,12,0.0
exp12_test_edit_00,test_edit,canonical,0,13,0.0
exp12_test_edit_00,test_edit,canonical,0,14,0.0
exp12_test_edit_00,test_edit,canonical,0,15,0.0
exp12_test_edit_00,test_edit,canonical,0,16,0.0
exp12_test_edit_00,test_edit,canonical,0,17,0.0
exp12_test_edit_00,test_edit,canonical,0,18,0.0
exp12_test_edit_00,test_edit,canonical,0,19,0.0
exp12_test_edit_00,test_edit,canonical,0,20,0.0
exp12_test_edit_00,test_edit,canonical,0,21,0.0
exp12_test_edit_00,test_edit,canonical,0,22,0.0
exp12_test_edit_00,test_edit,canonical,0,23,0.0
exp12_test_edit_00,test_edit,canonical,0,24,0.0
exp12_test_edit_00,test_edit,canonical,0,25,0.0
exp12_test_edit_00,test_edit,canonical,0,26,0.0
exp12_test_edit_00,test_edit,canonical,0,27,0.0
exp12_test_edit_00,test_edit,paraphrase,0,0,0.008950957329943776
exp12_test_edit_00,test_edit,paraphrase,0,1,0.022265949519351125
exp12_test_edit_00,test_edit,paraphrase,0,2,0.00460232247132808
exp12_test_edit_00,test_edit,paraphrase,0,3,0.00895652559120208
exp12_test_edit_00,test_edit,paraphrase,0,4,-0.01786575047299266
exp12_test_edit_00,test_edit,paraphrase,0,5,6.562902126461267e-05
exp12_test_edit_00,test_edit,paraphrase,0,6,-0.008788210107013583
exp12_test_edit_00,test_edit,paraphrase,0,7,0.0
exp12_test_edit_00,test_edit,paraphrase,0,8,0.0
exp12_test_edit_00,test_edit,paraphrase,0,9,0.0
exp12_test_edit_00,test_edit,paraphrase,0,10,0.0
exp12_test_edit_00,test_edit,paraphrase,0,11,0.0
exp12_test_edit_00,test_edit,paraphrase,0,12,0.0
exp12_test_edit_00,test_edit,paraphrase,0,13,0.0
exp12_test_edit_00,test_edit,paraphrase,0,14,0.0
exp12_test_edit_00,test_edit,paraphrase,0,15,0.0
exp12_test_edit_00,test_edit,paraphrase,0,16,0.0
exp12_test_edit_00,test_edit,paraphrase,0,17,0.0
exp12_test_edit_00,test_edit,paraphrase,0,18,0.0
exp12_test_edit_00,test_edit,paraphrase,0,19,0.0
exp12_test_edit_00,test_edit,paraphrase,0,20,0.0
exp12_test_edit_00,test_edit,paraphrase,0,21,0.0
exp12_test_edit_00,test_edit,paraphrase,0,22,0.0
exp12_test_edit_00,test_edit,paraphrase,0,23,0.0
exp12_test_edit_00,test_edit,paraphrase,0,24,0.0
exp12_test_edit_00,test_edit,paraphrase,0,25,0.0
exp12_test_edit_00,test_edit,paraphrase,0,26,0.0
exp12_test_edit_00,test_edit,paraphrase,0,27,0.0
exp12_test_edit_00,test_edit,canonical,1,0,-0.012951737269759178
exp12_test_edit_00,test_edit,canonical,1,1,-0.012896893080323935
exp12_test_edit_00,test_edit,canonical,1,2,5.694851279258728e-05
exp12_test_edit_00,test_edit,canonical,1,3,-0.01707822037860751
exp12_test_edit_00,test_edit,canonical,1,4,-0.004195849876850843
exp12_test_edit_00,test_edit,canonical,1,5,-0.008693749085068703
exp12_test_edit_00,test_edit,canonical,1,6,-0.012898265849798918
exp12_test_edit_00,test_edit,canonical,1,7,-0.0
exp12_test_edit_00,test_edit,canonical,1,8,-0.0
exp12_test_edit_00,test_edit,canonical,1,9,-0.0
exp12_test_edit_00,test_edit,canonical,1,10,-0.0
exp12_test_edit_00,test_edit,canonical,1,11,-0.0
exp12_test_edit_00,test_edit,canonical,1,12,-0.0
exp12_test_edit_00,test_edit,canonical,1,13,-0.0
exp12_test_edit_00,test_edit,canonical,1,14,-0.0
exp12_test_edit_00,test_edit,canonical,1,15,-0.0
exp12_test_edit_00,test_edit,canonical,1,16,-0.0
exp12_test_edit_00,test_edit,canonical,1,17,-0.0
exp12_test_edit_00,test_edit,canonical,1,18,-0.0
exp12_test_edit_00,test_edit,canonical,1,19,-0.0
exp12_test_edit_00,test_edit,canonical,1,20,-0.0
exp12_test_edit_00,test_edit,canonical,1,21,-0.0
exp12_test_edit_00,test_edit,canonical,1,22,-0.0
exp12_test_edit_00,test_edit,canonical,1,23,-0.0
exp12_test_edit_00,test_edit,canonical,1,24,-0.0
exp12_test_edit_00,test_edit,canonical,1,25,-0.0
exp12_test_edit_00,test_edit,canonical,1,26,-0.0
exp12_test_edit_00,test_edit,canonical,1,27,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,0,-0.003795299679040909
