phase,task_id,family,recipient_wording,recipient_label,donor_wording,donor_label,relation,anchor,metric,value,source_L,kv_head,readers
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,0.022081124363467097,20,0,
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,0.004492519656196237,20,0,
discovery,exp12_test_edit_00,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.012930880766361952,20,0,
discovery,exp12_test_edit_00,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.004133761860430241,20,0,
discovery,exp12_test_edit_01,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-0.013004879001528025,20,0,
discovery,exp12_test_edit_01,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-3.2579991966485977e-06,20,0,
discovery,exp12_test_edit_01,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.004421913530677557,20,0,
discovery,exp12_test_edit_01,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.008687919937074184,20,0,
discovery,exp12_test_edit_03,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-0.00409430917352438,20,0,
discovery,exp12_test_edit_03,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,0.011673660017549992,20,0,
discovery,exp12_test_edit_03,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,0.004157553892582655,20,0,
discovery,exp12_test_edit_03,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.004463789518922567,20,0,
discovery,exp12_test_edit_05,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,0.00800963630899787,20,0,
discovery,exp12_test_edit_05,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-4.121311940252781e-05,20,0,
discovery,exp12_test_edit_05,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.00018578930757939816,20,0,
discovery,exp12_test_edit_05,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,0.008635045494884253,20,0,
