family,wording,metric,mean,ci_low,ci_high,num_tasks
config_command,canonical,V_sufficiency,-0.0069919335526517756,-0.01271207471662718,-0.00036774815978587533,8
config_command,canonical,V_necessity_loss,-0.04513213903798412,-0.06065783270686452,-0.029221120285284202,8
config_command,paraphrase,V_sufficiency,0.008914013858884557,0.004259085186964091,0.013285901119363355,8
config_command,paraphrase,V_necessity_loss,0.00412429318142433,0.0016738746748564514,0.006000130902975779,8
docs_code,canonical,V_sufficiency,-0.02601761369320835,-0.03205373324188055,-0.020235147750433197,8
docs_code,canonical,V_necessity_loss,-0.07512503198106263,-0.09028397137970187,-0.058137616846604755,8
docs_code,paraphrase,V_sufficiency,-0.0340731267489092,-0.04294039599052567,-0.024326945248433034,8
docs_code,paraphrase,V_necessity_loss,-0.05314355659841871,-0.05858898916529951,-0.04407905822598778,8
search_edit,canonical,V_sufficiency,-0.007566160825970464,-0.011701314156814788,-0.003953195884605538,8
search_edit,canonical,V_necessity_loss,-0.049689895147922575,-0.053673384280450084,-0.04567486600352217,8
search_edit,paraphrase,V_sufficiency,-0.011396156348685816,-0.01829349913845261,-0.004786741430754993,8
search_edit,paraphrase,V_necessity_loss,-0.03083907023655128,-0.03309481565275343,-0.028364622032652036,8
test_edit,canonical,V_sufficiency,-0.0033615843082467657,-0.006105869950422643,-0.00028042405109671923,8
test_edit,canonical,V_necessity_loss,-0.037777652690743305,-0.04110371673676936,-0.03454481867896297,8
test_edit,paraphrase,V_sufficiency,0.00012588964778436894,-0.0019123939500382823,0.00209054422655549,8
test_edit,paraphrase,V_necessity_loss,-0.022394162635060236,-0.027650211654539205,-0.017202519606416906,8
