phase,task_id,family,recipient_wording,recipient_label,donor_wording,donor_label,relation,anchor,metric,value,source_L,kv_head,readers
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,0.0007503032684326172,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,0.000825151801109314,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.0022661536931991577,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.0017577111721038818,30,4,
discovery,exp12_test_edit_01,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-0.0014739632606506348,30,4,
discovery,exp12_test_edit_01,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-0.0030296146869659424,30,4,
discovery,exp12_test_edit_01,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.0013131201267242432,30,4,
discovery,exp12_test_edit_01,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.00589694082736969,30,4,
discovery,exp12_test_edit_03,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,0.0014205873012542725,30,4,
discovery,exp12_test_edit_03,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-0.002769775688648224,30,4,
discovery,exp12_test_edit_03,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,0.000788569450378418,30,4,
discovery,exp12_test_edit_03,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,0.001067042350769043,30,4,
discovery,exp12_test_edit_05,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-0.0016459226608276367,30,4,
discovery,exp12_test_edit_05,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-0.001016460359096527,30,4,
discovery,exp12_test_edit_05,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.009534686803817749,30,4,
discovery,exp12_test_edit_05,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.008093670010566711,30,4,
discovery,exp12_test_edit_07,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-2.755969762802124e-05,30,4,
discovery,exp12_test_edit_07,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-0.004606775939464569,30,4,
discovery,exp12_test_edit_07,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,0.00024475157260894775,30,4,
discovery,exp12_test_edit_07,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.00959622859954834,30,4,
discovery,exp12_test_edit_08,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-0.0023068562150001526,30,4,
discovery,exp12_test_edit_08,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-0.000741228461265564,30,4,
discovery,exp12_test_edit_08,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.0008899718523025513,30,4,
discovery,exp12_test_edit_08,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.0007784664630889893,30,4,
discovery,exp12_test_edit_09,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,0.0006224215030670166,30,4,
discovery,exp12_test_edit_09,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,-0.007295288145542145,30,4,
discovery,exp12_test_edit_09,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.00206911563873291,30,4,
discovery,exp12_test_edit_09,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.0005345195531845093,30,4,
discovery,exp12_test_edit_15,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_sufficiency,-0.000555083155632019,30,4,
discovery,exp12_test_edit_15,test_edit,canonical,0,canonical,1,opposite_same_wording,SKILL_END,V_necessity_loss,0.0015619993209838867,30,4,
discovery,exp12_test_edit_15,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_sufficiency,-0.0015301108360290527,30,4,
discovery,exp12_test_edit_15,test_edit,canonical,1,canonical,0,opposite_same_wording,SKILL_END,V_necessity_loss,-0.002816304564476013,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,V_sufficiency,0.0015332996845245361,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,V_necessity_loss,0.0015354454517364502,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,1,canonical,0,opposite_same_wording,SYSTEM_END,V_sufficiency,0.0013809055089950562,30,4,
discovery,exp12_test_edit_00,test_edit,canonical,1,canonical,0,opposite_same_wording,SYSTEM_END,V_necessity_loss,0.00029593706130981445,30,4,
discovery,exp12_test_edit_01,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,V_sufficiency,-0.0014741122722625732,30,4,
discovery,exp12_test_edit_01,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,V_necessity_loss,0.00312592089176178,30,4,
